scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
8000,1,del,42.0,618256.416,1
8000,2,ins,61.5,1937287.875,1
8000,3,ins,64.792,5730579.958,3
8000,4,del,76.667,4487387.416,3
8000,5,ins,68.916,4415413.625,3
8000,6,ins,59.625,1944421.75,1
8000,7,del,85.0,592954.375,1
8000,8,ins,42.0,1909397.584,1
8000,9,ins,56.375,4467720.541,3
8000,10,del,98.625,1901927.916,1
8000,11,ins,38.75,655680.334,1
8000,12,del,66.166,5436608.0,3
8000,13,del,138.958,611484.292,1
8000,14,del,68.208,1984331.084,1
8000,15,ins,44.041,1949259.584,1
8000,16,ins,68.833,5508442.083,3
8000,17,del,112.25,5553601.792,3
8000,18,ins,61.333,1956573.292,1
8000,19,del,77.542,4596350.834,3
8000,20,ins,61.25,1973431.916,1
8000,21,del,44.875,1932371.916,1
8000,22,del,49.708,1969475.334,1
8000,23,del,79.208,1963127.375,1
8000,24,del,57.0,5585581.375,3
8000,25,del,120.042,1960299.5,1
8000,26,ins,60.375,4524453.125,3
8000,27,ins,76.584,5448187.625,3
8000,28,ins,56.958,2005422.708,1
8000,29,del,64.167,4519677.666,3
8000,30,ins,71.375,5681761.125,3
