scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
500,1,ins,11.458,8877.125,1
500,2,ins,19.417,8687.292,1
500,3,del,25.708,27197.5,3
500,4,del,39.5,27130.417,3
500,5,ins,39.25,23629.292,3
500,6,del,23.125,3894.959,1
500,7,del,20.792,4147.875,1
500,8,ins,34.708,21482.542,3
500,9,del,47.542,8783.542,1
500,10,ins,28.292,8777.708,1
500,11,del,24.5,4008.708,1
500,12,del,18.292,8879.166,1
500,13,ins,22.333,8538.917,1
500,14,del,41.208,21001.334,3
500,15,del,43.042,21052.625,3
500,16,ins,25.125,3957.167,1
500,17,ins,32.125,3992.917,1
500,18,del,36.625,30807.041,3
500,19,ins,48.416,27246.542,3
500,20,del,34.583,27326.375,3
500,21,ins,27.375,8693.083,1
500,22,del,17.958,8540.417,1
500,23,del,14.209,8344.125,1
500,24,del,15.334,8519.333,1
500,25,ins,31.708,21384.958,3
500,26,ins,35.5,3998.917,1
500,27,del,24.917,30708.75,3
500,28,ins,44.583,21346.75,3
500,29,ins,28.458,8635.209,1
500,30,del,16.667,3914.541,1
500,31,del,21.333,27203.875,3
500,32,ins,35.542,21235.959,3
500,33,del,34.25,27257.875,3
500,34,del,33.708,8598.25,1
500,35,ins,27.292,21345.375,3
500,36,ins,32.167,4023.458,1
500,37,del,18.833,11433.875,1
500,38,ins,18.334,8727.958,1
500,39,del,14.084,3990.5,1
500,40,ins,23.334,27749.375,3
500,41,ins,24.0,4065.917,1
500,42,del,14.666,8630.667,1
500,43,ins,14.625,4014.834,1
500,44,ins,10.75,8713.333,1
500,45,del,24.417,21265.042,3
500,46,ins,21.75,8663.333,1
500,47,del,24.625,21377.916,3
500,48,del,28.625,11622.584,1
500,49,del,23.25,21262.083,3
500,50,ins,23.208,21339.667,3
500,51,ins,22.25,8697.5,1
500,52,del,17.958,3855.5,1
500,53,ins,11.917,8639.166,1
500,54,ins,12.083,8629.917,1
500,55,del,16.917,8786.125,1
500,56,del,22.208,9226.416,1
500,57,del,24.708,4139.334,1
500,58,ins,32.167,22910.792,3
500,59,ins,37.25,9061.708,1
500,60,ins,39.167,31241.0,3
500,61,ins,34.084,8585.041,1
500,62,ins,28.709,21324.791,3
500,63,del,39.167,27408.416,3
500,64,ins,40.417,21784.084,3
500,65,del,35.375,8986.666,1
500,66,ins,33.792,27740.708,3
500,67,ins,42.0,21390.458,3
500,68,ins,29.834,24653.083,3
500,69,del,34.917,8641.375,1
500,70,del,17.583,8530.5,1
500,71,del,15.333,3896.458,1
500,72,ins,20.542,21320.708,3
500,73,ins,33.542,28942.542,3
500,74,del,47.042,3942.333,1
500,75,ins,14.583,3891.333,1
500,76,del,23.833,22024.25,3
500,77,del,45.917,28052.625,3
500,78,ins,30.167,11861.5,1
500,79,ins,22.291,8765.5,1
500,80,ins,21.25,28442.667,3
500,81,ins,27.917,28309.416,3
500,82,ins,33.667,22030.083,3
500,83,del,36.042,8750.875,1
500,84,ins,27.0,28482.541,3
500,85,del,32.583,4167.458,1
500,86,ins,13.833,11662.875,1
500,87,ins,17.875,8686.25,1
500,88,del,17.125,8691.625,1
500,89,ins,11.458,4010.459,1
500,90,ins,10.541,3944.042,1
500,91,ins,9.958,4058.916,1
500,92,del,10.042,4009.208,1
500,93,del,14.209,8520.458,1
500,94,del,17.375,8674.0,1
500,95,del,14.708,4104.334,1
500,96,del,14.0,8550.75,1
500,97,del,29.625,21699.542,3
500,98,ins,52.417,21895.875,3
500,99,ins,33.042,8734.042,1
500,100,del,21.417,4049.583,1
1000,1,del,15.875,37555.916,1
1000,2,ins,22.959,33819.291,1
1000,3,del,36.125,78068.625,3
1000,4,ins,48.458,79030.875,3
1000,5,ins,48.583,13173.083,1
1000,6,ins,17.959,13174.0,1
1000,7,del,23.208,33384.083,1
1000,8,del,46.125,104045.208,3
1000,9,ins,56.417,77410.541,3
1000,10,del,52.083,13422.292,1
1000,11,ins,21.875,13291.708,1
1000,12,del,35.916,77089.917,3
1000,13,del,41.875,13528.791,1
1000,14,del,22.375,13114.083,1
1000,15,ins,13.083,13166.667,1
1000,16,del,15.625,13367.625,1
1000,17,del,36.25,35952.375,1
1000,18,ins,30.708,31903.292,1
1000,19,ins,46.292,78066.166,3
1000,20,ins,54.625,32128.25,1
1000,21,ins,25.75,13201.208,1
1000,22,ins,25.583,77519.25,3
1000,23,del,35.875,32534.25,1
1000,24,del,30.083,31432.083,1
1000,25,ins,46.292,30926.333,1
1000,26,ins,34.375,102356.958,3
1000,27,del,55.583,78649.375,3
1000,28,del,48.208,103324.542,3
1000,29,del,42.375,32200.5,1
1000,30,ins,29.75,31851.208,1
1000,31,del,28.833,31999.625,1
1000,32,del,21.834,32270.791,1
1000,33,del,26.667,13112.708,1
1000,34,del,31.917,102832.083,3
1000,35,ins,54.917,75540.375,3
1000,36,del,58.375,99672.333,3
1000,37,del,61.125,102838.792,3
1000,38,ins,53.333,75163.583,3
1000,39,ins,44.041,31239.542,1
