scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
200,1,del,14.833,4150.417,3
200,2,del,10.417,4128.042,3
200,3,del,8.542,1624.666,1
200,4,ins,9.792,1656.125,1
200,5,ins,10.375,4114.208,3
200,6,ins,6.166,1639.75,1
200,7,ins,17.291,4136.75,3
200,8,del,10.334,1667.5,1
200,9,ins,14.458,5514.417,3
200,10,ins,8.084,1631.875,1
200,11,del,14.291,4219.625,3
200,12,del,11.0,5456.792,3
200,13,del,8.459,1638.5,1
200,14,ins,5.833,857.875,1
200,15,del,14.417,5409.875,3
200,16,del,7.708,1676.083,1
200,17,ins,5.834,900.042,1
200,18,del,11.083,1643.417,1
200,19,ins,7.25,1627.042,1
200,20,del,12.458,5455.792,3
200,21,del,7.042,1649.0,1
200,22,ins,11.291,5434.25,3
200,23,del,7.375,882.375,1
200,24,del,6.375,1623.333,1
200,25,ins,12.959,4146.667,3
200,26,del,8.75,4161.958,3
200,27,del,9.959,1650.625,1
200,28,del,13.125,4160.834,3
200,29,del,9.208,1607.542,1
200,30,del,14.167,4152.041,3
200,31,del,8.417,911.708,1
200,32,ins,9.417,1653.0,1
200,33,del,8.625,1641.75,1
200,34,ins,20.042,5545.916,3
200,35,ins,18.208,1002.041,1
200,36,del,33.917,4410.333,3
200,37,del,21.75,5806.959,3
200,38,del,22.334,5804.084,3
200,39,ins,22.083,4352.833,3
200,40,ins,10.334,937.166,1
200,41,ins,7.666,903.75,1
200,42,ins,11.917,1610.958,1
200,43,del,15.417,5424.416,3
200,44,del,14.917,4031.5,3
200,45,del,8.958,1594.459,1
200,46,del,13.542,4080.625,3
200,47,del,11.042,1608.25,1
200,48,ins,7.792,1617.625,1
200,49,ins,6.375,880.958,1
200,50,del,6.792,854.125,1
200,51,del,6.0,1604.625,1
200,52,del,6.875,864.0,1
200,53,del,11.875,6203.084,3
200,54,ins,9.209,5468.541,3
200,55,del,8.042,1593.167,1
200,56,del,7.167,1607.5,1
200,57,del,6.0,894.75,1
200,58,del,6.875,868.542,1
200,59,ins,13.167,4132.0,3
200,60,del,9.708,4070.209,3
200,61,ins,6.958,1606.833,1
200,62,ins,5.833,857.875,1
200,63,del,11.792,4107.583,3
200,64,del,12.125,4052.834,3
200,65,del,9.708,1604.583,1
200,66,del,9.083,1607.333,1
200,67,del,13.5,1619.416,1
200,68,ins,25.834,5474.5,3
200,69,del,17.75,1663.666,1
200,70,ins,23.875,4066.791,3
200,71,ins,15.125,4081.458,3
200,72,ins,6.5,1608.917,1
200,73,ins,5.958,879.167,1
200,74,del,7.875,844.125,1
200,75,ins,9.584,1598.042,1
200,76,ins,6.75,1608.291,1
200,77,ins,15.75,4259.083,3
200,78,del,13.625,1696.333,1
200,79,del,17.0,5455.167,3
200,80,del,22.041,4033.625,3
200,81,del,16.208,5314.25,3
200,82,ins,8.459,1590.291,1
200,83,del,6.541,907.542,1
200,84,del,6.042,877.542,1
200,85,del,11.375,3977.875,3
200,86,ins,6.959,1593.333,1
200,87,ins,8.75,859.459,1
