model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
cartesiantest,conj_0,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_1,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_2,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_3,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_4,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_5,INJ3194932625712474361,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_6,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_7,PrototypeContext.UNI1281036245684789643,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_8,PrototypeContext.UNI6587418294180737,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_9,PrototypeContext.UNI2929575726137283991,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_10,PrototypeContext.EquivalenceInsRoles,True,True,False,0,0,,3,True,0,cheap
cartesiantest,conj_11,PrototypeContext.EquivalenceDelRoles,True,True,False,0,0,,3,True,0,cheap
cartesiantest,conj_12,PrototypeContext.UNI1351479429284401801,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_13,PrototypeContext.FixTOTisPartOf,True,True,False,0,0,,2,False,0,cheap
cartesiantest,conj_14,PrototypeContext.UNI2774696913355351083,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_15,PrototypeContext.UNI8040063340206851592,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_16,PrototypeContext.UNI2918875928466379360,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_17,PrototypeContext.UNI692238222762330918,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_18,PrototypeContext.UNI3348967980068475124,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_19,PrototypeContext.UNI6761717822398293328,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_20,PrototypeContext.UNI2905877478523814324,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_21,PrototypeContext.UNI5473307612910863708,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_22,UNI6168956428310003465,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_23,UNI687748423028206295,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_24,UNI3194932625712474361,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_25,UNI6216198214535817404,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_26,UNI3965099518665465519,False,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_27,Compute7203552153861203892,True,True,False,0,0,,2,False,2,cheap
cartesiantest,conj_28,Compute3294563594874021666,True,True,False,1,0,SESSION*PrototypeContext.Role,2,True,0,cheap
cartesiantest,conj_29,PrototypeContext.ASY1281036245684789643,False,True,False,0,0,,1,False,2,cheap
cartesiantest,conj_30,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_31,PrototypeContext.ASY2929575726137283991,False,True,False,0,0,,1,False,2,cheap
cartesiantest,conj_32,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_33,PrototypeContext.ASY1351479429284401801,False,True,False,0,0,,1,False,2,cheap
cartesiantest,conj_34,PrototypeContext.ASY2774696913355351083,False,True,False,0,0,,1,False,2,cheap
cartesiantest,conj_35,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_36,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_37,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_38,PrototypeContext.IRF1351479429284401801,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_39,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_40,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_41,Compute7281322003003760225,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_42,Compute4436322999051580996,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_43,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_44,Compute7781214230736865855,True,True,False,0,0,,3,False,0,cheap
cartesiantest,conj_45,PrototypeContext.ActiveRoles,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_46,Compute2207725484691862218,True,True,False,0,0,,2,False,0,cheap
cartesiantest,conj_47,Compute5941622017960266973,True,True,False,0,0,,2,False,0,cheap
cartesiantest,conj_48,PrototypeContext.TOT8040063340206851592,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_49,PrototypeContext.DeassignNonRootPFnavMenItems,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_50,PrototypeContext.TOT6587418294180737,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_51,PrototypeContext.TOT2918875928466379360,False,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_52,Compute2796545173193198284,True,True,False,0,0,,1,False,0,cheap
cartesiantest,conj_53,PrototypeContext.NoRefsToAPIs,False,True,False,0,0,,2,False,0,cheap
