id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,PrototypeContext.DesignateRootPFnavMenItem,0.15,0,0.19,0
conj_1,PrototypeContext.INJ1281036245684789643,0.2,0,0.18,0
conj_2,PrototypeContext.INJ2929575726137283991,0.15,0,0.18,0
conj_3,Compute5699103424917097406,0.17,0,0.26,0
conj_4,PrototypeContext.INJ2774696913355351083,0.15,0,0.18,0
conj_5,INJ3194932625712474361,0.15,0,0.27,0
conj_6,PrototypeContext.UNI4459606978866555589,0.16,0,0.17,0
conj_7,PrototypeContext.UNI1281036245684789643,0.16,0,0.18,0
conj_8,PrototypeContext.UNI6587418294180737,0.16,0,0.16,0
conj_9,PrototypeContext.UNI2929575726137283991,0.16,0,0.17,0
conj_10,PrototypeContext.EquivalenceInsRoles,0.13,0,0.17,0
conj_11,PrototypeContext.EquivalenceDelRoles,0.18,0,0.2,0
conj_12,PrototypeContext.UNI1351479429284401801,0.16,0,0.17,0
conj_13,PrototypeContext.FixTOTisPartOf,0.13,0,0.14,0
conj_14,PrototypeContext.UNI2774696913355351083,0.17,0,0.17,0
conj_15,PrototypeContext.UNI8040063340206851592,0.2,0,0.19,0
conj_16,PrototypeContext.UNI2918875928466379360,0.16,0,0.17,0
conj_17,PrototypeContext.UNI692238222762330918,0.16,0,0.17,0
conj_18,PrototypeContext.UNI3348967980068475124,0.14,0,0.18,0
conj_19,PrototypeContext.UNI6761717822398293328,0.15,0,0.22,0
conj_20,PrototypeContext.UNI2905877478523814324,0.14,0,0.36,0
conj_21,PrototypeContext.UNI5473307612910863708,0.15,0,0.17,0
conj_22,UNI6168956428310003465,0.14,0,0.18,0
conj_23,UNI687748423028206295,0.15,0,0.28,0
conj_24,UNI3194932625712474361,0.15,0,0.27,0
conj_25,UNI6216198214535817404,0.17,0,0.28,0
conj_26,UNI3965099518665465519,0.14,0,0.27,0
conj_27,Compute7203552153861203892,0.22,1,0.59,32
conj_28,Compute3294563594874021666,0.2,0,0.15,0
conj_29,PrototypeContext.ASY1281036245684789643,0.16,0,0.2,0
conj_30,PrototypeContext.SYM1281036245684789643,0.11,0,0.12,0
conj_31,PrototypeContext.ASY2929575726137283991,0.33,0,0.18,0
conj_32,PrototypeContext.SYM2929575726137283991,0.11,0,0.14,0
conj_33,PrototypeContext.ASY1351479429284401801,0.14,0,0.17,0
conj_34,PrototypeContext.ASY2774696913355351083,0.15,0,0.17,0
conj_35,PrototypeContext.SYM2774696913355351083,0.26,0,0.11,0
conj_36,PrototypeContext.SYM1281036245684789643,0.13,0,0.13,0
conj_37,PrototypeContext.SYM2929575726137283991,0.13,0,0.13,0
conj_38,PrototypeContext.IRF1351479429284401801,0.07,0,0.08,0
conj_39,PrototypeContext.ComputeIsSubItemOfClosure,0.1,0,0.13,0
conj_40,PrototypeContext.ComputeIsSubItemOfClosure,0.23,0,0.11,0
conj_41,Compute7281322003003760225,0.1,0,0.12,0
conj_42,Compute4436322999051580996,0.15,0,0.16,0
conj_43,PrototypeContext.SYM2774696913355351083,0.12,0,0.14,0
conj_44,Compute7781214230736865855,0.16,0,0.18,0
conj_45,PrototypeContext.ActiveRoles,0.1,0,0.11,0
conj_46,Compute2207725484691862218,0.13,0,0.16,0
conj_47,Compute5941622017960266973,0.13,0,0.17,0
conj_48,PrototypeContext.TOT8040063340206851592,0.12,0,0.14,0
conj_49,PrototypeContext.DeassignNonRootPFnavMenItems,0.14,0,0.17,0
conj_50,PrototypeContext.TOT6587418294180737,0.1,0,0.12,0
conj_51,PrototypeContext.TOT2918875928466379360,0.09,0,0.11,0
conj_52,Compute2796545173193198284,0.1,0,0.11,0
conj_53,PrototypeContext.NoRefsToAPIs,0.11,0,0.11,0
