model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
chainshortcut,conj_0,plusUnfoldRight,False,False,True,2,2,Node*Node Node*Node,2,False,2,expensive
chainshortcut,conj_1,plusUnfoldLeft,False,False,True,2,2,Node*Node Node*Node,2,False,2,expensive
chainshortcut,conj_2,starLaw,False,False,True,2,2,Node*Node Node*Node,1,False,2,expensive
chainshortcut,conj_3,redDefinition,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_4,redExact,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_5,redInBase,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_6,redDefinition,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_7,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_8,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_9,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_10,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_11,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_12,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_13,PrototypeContext.UNI1281036245684789643,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_14,PrototypeContext.UNI6587418294180737,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_15,PrototypeContext.UNI2929575726137283991,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_16,PrototypeContext.EquivalenceInsRoles,True,True,False,0,0,,3,True,0,cheap
chainshortcut,conj_17,PrototypeContext.EquivalenceDelRoles,True,True,False,0,0,,3,True,0,cheap
chainshortcut,conj_18,PrototypeContext.UNI1351479429284401801,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_19,PrototypeContext.FixTOTisPartOf,True,True,False,0,0,,2,False,0,cheap
chainshortcut,conj_20,PrototypeContext.UNI2774696913355351083,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_21,PrototypeContext.UNI8040063340206851592,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_22,PrototypeContext.UNI2918875928466379360,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_23,PrototypeContext.UNI692238222762330918,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_24,PrototypeContext.UNI3348967980068475124,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_25,PrototypeContext.UNI6761717822398293328,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_26,PrototypeContext.UNI2905877478523814324,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_27,PrototypeContext.UNI5473307612910863708,False,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_28,Compute3294563594874021666,True,True,False,1,0,SESSION*PrototypeContext.Role,2,True,0,cheap
chainshortcut,conj_29,starLaw,False,False,True,0,0,,1,False,0,expensive
chainshortcut,conj_30,redPreserves,False,False,True,0,0,,2,False,2,expensive
chainshortcut,conj_31,plusUnfoldRight,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_32,plusUnfoldLeft,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_33,redPreserves,False,False,True,0,0,,2,False,2,expensive
chainshortcut,conj_34,acyclicR,False,False,True,0,0,,1,False,0,expensive
chainshortcut,conj_35,plusExact,False,False,False,0,0,,1,False,0,cheap
chainshortcut,conj_36,PrototypeContext.ASY1281036245684789643,False,True,False,0,0,,1,False,2,cheap
chainshortcut,conj_37,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_38,PrototypeContext.ASY2929575726137283991,False,True,False,0,0,,1,False,2,cheap
chainshortcut,conj_39,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_40,PrototypeContext.ASY1351479429284401801,False,True,False,0,0,,1,False,2,cheap
chainshortcut,conj_41,PrototypeContext.ASY2774696913355351083,False,True,False,0,0,,1,False,2,cheap
chainshortcut,conj_42,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_43,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_44,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_45,PrototypeContext.IRF1351479429284401801,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_46,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_47,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_48,Compute7281322003003760225,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_49,Compute4436322999051580996,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_50,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_51,Compute7781214230736865855,True,True,False,0,0,,3,False,0,cheap
chainshortcut,conj_52,PrototypeContext.ActiveRoles,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_53,plusExact,False,False,False,0,0,,1,False,0,cheap
chainshortcut,conj_54,redExact,False,False,True,0,0,,2,False,0,expensive
chainshortcut,conj_55,baseInPlus,False,False,False,0,0,,1,False,0,cheap
chainshortcut,conj_56,PrototypeContext.TOT8040063340206851592,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_57,PrototypeContext.DeassignNonRootPFnavMenItems,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_58,PrototypeContext.TOT6587418294180737,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_59,PrototypeContext.TOT2918875928466379360,False,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_60,Compute2796545173193198284,True,True,False,0,0,,1,False,0,cheap
chainshortcut,conj_61,PrototypeContext.NoRefsToAPIs,False,True,False,0,0,,2,False,0,cheap
