id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,plusUnfoldRight,0.55,0,-1.0,-1
conj_1,plusUnfoldLeft,0.78,0,-1.0,-1
conj_2,starLaw,0.65,0,-1.0,-1
conj_3,redDefinition,0.64,0,11.53,0
conj_4,redExact,0.34,0,6.52,0
conj_5,redInBase,0.37,0,6.94,0
conj_6,redDefinition,0.51,0,11.39,0
conj_7,PrototypeContext.DesignateRootPFnavMenItem,0.16,0,0.15,0
conj_8,PrototypeContext.INJ1281036245684789643,0.2,0,0.19,0
conj_9,PrototypeContext.INJ2929575726137283991,0.17,0,0.15,0
conj_10,Compute5699103424917097406,0.17,0,0.16,0
conj_11,PrototypeContext.INJ2774696913355351083,0.16,0,0.16,0
conj_12,PrototypeContext.UNI4459606978866555589,0.15,0,0.16,0
conj_13,PrototypeContext.UNI1281036245684789643,0.15,0,0.15,0
conj_14,PrototypeContext.UNI6587418294180737,0.17,0,0.16,0
conj_15,PrototypeContext.UNI2929575726137283991,0.17,0,0.24,0
conj_16,PrototypeContext.EquivalenceInsRoles,0.16,0,0.14,0
conj_17,PrototypeContext.EquivalenceDelRoles,0.18,0,0.2,0
conj_18,PrototypeContext.UNI1351479429284401801,0.16,0,0.16,0
conj_19,PrototypeContext.FixTOTisPartOf,0.13,0,0.15,0
conj_20,PrototypeContext.UNI2774696913355351083,0.16,0,0.15,0
conj_21,PrototypeContext.UNI8040063340206851592,0.18,0,0.17,0
conj_22,PrototypeContext.UNI2918875928466379360,0.16,0,0.14,0
conj_23,PrototypeContext.UNI692238222762330918,0.17,0,0.16,0
conj_24,PrototypeContext.UNI3348967980068475124,0.16,0,0.15,0
conj_25,PrototypeContext.UNI6761717822398293328,0.17,0,0.23,0
conj_26,PrototypeContext.UNI2905877478523814324,0.15,0,0.16,0
conj_27,PrototypeContext.UNI5473307612910863708,0.15,0,0.14,0
conj_28,Compute3294563594874021666,0.16,0,0.19,0
conj_29,starLaw,0.42,0,5.65,0
conj_30,redPreserves,0.72,0,15.41,0
conj_31,plusUnfoldRight,0.52,0,3.29,0
conj_32,plusUnfoldLeft,0.41,0,4.94,0
conj_33,redPreserves,0.77,0,15.43,0
conj_34,acyclicR,0.26,0,0.56,0
conj_35,plusExact,0.25,0,0.8,0
conj_36,PrototypeContext.ASY1281036245684789643,0.17,0,0.17,0
conj_37,PrototypeContext.SYM1281036245684789643,0.11,0,0.12,0
conj_38,PrototypeContext.ASY2929575726137283991,0.2,0,0.19,0
conj_39,PrototypeContext.SYM2929575726137283991,0.12,0,0.12,0
conj_40,PrototypeContext.ASY1351479429284401801,0.17,0,0.16,0
conj_41,PrototypeContext.ASY2774696913355351083,0.16,0,0.16,0
conj_42,PrototypeContext.SYM2774696913355351083,0.11,0,0.1,0
conj_43,PrototypeContext.SYM1281036245684789643,0.12,0,0.12,0
conj_44,PrototypeContext.SYM2929575726137283991,0.15,0,0.13,0
conj_45,PrototypeContext.IRF1351479429284401801,0.08,0,0.08,0
conj_46,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.12,0
conj_47,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.11,0
conj_48,Compute7281322003003760225,0.11,0,0.11,0
conj_49,Compute4436322999051580996,0.15,0,0.15,0
conj_50,PrototypeContext.SYM2774696913355351083,0.13,0,0.11,0
conj_51,Compute7781214230736865855,0.19,0,0.17,0
conj_52,PrototypeContext.ActiveRoles,0.11,0,0.12,0
conj_53,plusExact,0.25,0,3.82,0
conj_54,redExact,0.33,0,5.14,0
conj_55,baseInPlus,0.25,0,2.51,0
conj_56,PrototypeContext.TOT8040063340206851592,0.12,0,0.12,0
conj_57,PrototypeContext.DeassignNonRootPFnavMenItems,0.15,0,0.14,0
conj_58,PrototypeContext.TOT6587418294180737,0.1,0,0.09,0
conj_59,PrototypeContext.TOT2918875928466379360,0.1,0,0.09,0
conj_60,Compute2796545173193198284,0.1,0,0.09,0
conj_61,PrototypeContext.NoRefsToAPIs,0.12,0,0.1,0
