model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
combinedops,conj_0,unionRedIsBase,False,False,True,2,2,Node*Node Node*Node,2,False,4,expensive
combinedops,conj_1,unionRedIsBase,False,False,True,0,0,,2,False,2,expensive
combinedops,conj_2,converseAfterRed,False,False,True,0,0,,2,False,0,expensive
combinedops,conj_3,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_4,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_5,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_6,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
combinedops,conj_7,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_8,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_9,PrototypeContext.UNI1281036245684789643,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_10,PrototypeContext.UNI6587418294180737,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_11,PrototypeContext.UNI2929575726137283991,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_12,PrototypeContext.EquivalenceInsRoles,True,True,False,0,0,,3,True,0,cheap
combinedops,conj_13,PrototypeContext.EquivalenceDelRoles,True,True,False,0,0,,3,True,0,cheap
combinedops,conj_14,PrototypeContext.UNI1351479429284401801,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_15,PrototypeContext.FixTOTisPartOf,True,True,False,0,0,,2,False,0,cheap
combinedops,conj_16,PrototypeContext.UNI2774696913355351083,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_17,PrototypeContext.UNI8040063340206851592,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_18,PrototypeContext.UNI2918875928466379360,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_19,PrototypeContext.UNI692238222762330918,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_20,PrototypeContext.UNI3348967980068475124,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_21,PrototypeContext.UNI6761717822398293328,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_22,PrototypeContext.UNI2905877478523814324,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_23,PrototypeContext.UNI5473307612910863708,False,True,False,0,0,,3,False,0,cheap
combinedops,conj_24,Compute3294563594874021666,True,True,False,1,0,SESSION*PrototypeContext.Role,2,True,0,cheap
combinedops,conj_25,starIdempotent,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_26,starOfPlus,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_27,plusOfStar,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_28,starIdempotent,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_29,starOfPlus,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_30,unionPlusExact,False,False,False,0,0,,1,False,0,cheap
combinedops,conj_31,plusOfStar,False,False,True,0,0,,1,False,0,expensive
combinedops,conj_32,converseAfterPlus,False,False,False,0,0,,1,False,0,cheap
combinedops,conj_33,converseAfterRed,False,False,True,0,0,,2,False,0,expensive
combinedops,conj_34,converseAfterPlus,False,False,False,0,0,,1,False,0,cheap
combinedops,conj_35,PrototypeContext.ASY1281036245684789643,False,True,False,0,0,,1,False,2,cheap
combinedops,conj_36,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_37,PrototypeContext.ASY2929575726137283991,False,True,False,0,0,,1,False,2,cheap
combinedops,conj_38,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_39,PrototypeContext.ASY1351479429284401801,False,True,False,0,0,,1,False,2,cheap
combinedops,conj_40,PrototypeContext.ASY2774696913355351083,False,True,False,0,0,,1,False,2,cheap
combinedops,conj_41,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_42,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_43,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_44,PrototypeContext.IRF1351479429284401801,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_45,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_46,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_47,Compute7281322003003760225,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_48,Compute4436322999051580996,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_49,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_50,Compute7781214230736865855,True,True,False,0,0,,3,False,0,cheap
combinedops,conj_51,PrototypeContext.ActiveRoles,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_52,unionPlusExact,False,False,False,0,0,,1,False,0,cheap
combinedops,conj_53,PrototypeContext.TOT8040063340206851592,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_54,PrototypeContext.DeassignNonRootPFnavMenItems,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_55,PrototypeContext.TOT6587418294180737,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_56,PrototypeContext.TOT2918875928466379360,False,True,False,0,0,,1,False,0,cheap
combinedops,conj_57,Compute2796545173193198284,True,True,False,0,0,,1,False,0,cheap
combinedops,conj_58,PrototypeContext.NoRefsToAPIs,False,True,False,0,0,,2,False,0,cheap
