id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,unionRedIsBase,0.53,0,4268.85,0
conj_1,unionRedIsBase,0.42,0,1.55,0
conj_2,converseAfterRed,0.63,0,3.73,0
conj_3,PrototypeContext.DesignateRootPFnavMenItem,0.15,0,0.16,0
conj_4,PrototypeContext.INJ1281036245684789643,0.17,0,0.19,0
conj_5,PrototypeContext.INJ2929575726137283991,0.17,0,0.17,0
conj_6,Compute5699103424917097406,0.16,0,0.17,0
conj_7,PrototypeContext.INJ2774696913355351083,0.16,0,0.17,0
conj_8,PrototypeContext.UNI4459606978866555589,0.16,0,0.15,0
conj_9,PrototypeContext.UNI1281036245684789643,0.17,0,0.17,0
conj_10,PrototypeContext.UNI6587418294180737,0.16,0,0.17,0
conj_11,PrototypeContext.UNI2929575726137283991,0.16,0,0.21,0
conj_12,PrototypeContext.EquivalenceInsRoles,0.14,0,0.15,0
conj_13,PrototypeContext.EquivalenceDelRoles,0.17,0,0.21,0
conj_14,PrototypeContext.UNI1351479429284401801,0.17,0,0.16,0
conj_15,PrototypeContext.FixTOTisPartOf,0.14,0,0.15,0
conj_16,PrototypeContext.UNI2774696913355351083,0.23,0,0.29,0
conj_17,PrototypeContext.UNI8040063340206851592,0.16,0,0.17,0
conj_18,PrototypeContext.UNI2918875928466379360,0.17,0,0.16,0
conj_19,PrototypeContext.UNI692238222762330918,0.17,0,0.21,0
conj_20,PrototypeContext.UNI3348967980068475124,0.14,0,0.16,0
conj_21,PrototypeContext.UNI6761717822398293328,0.16,0,0.32,0
conj_22,PrototypeContext.UNI2905877478523814324,0.16,0,0.18,0
conj_23,PrototypeContext.UNI5473307612910863708,0.16,0,0.18,0
conj_24,Compute3294563594874021666,0.15,0,0.18,0
conj_25,starIdempotent,0.71,0,5.8,0
conj_26,starOfPlus,0.74,0,4.29,0
conj_27,plusOfStar,0.69,0,5.17,0
conj_28,starIdempotent,0.71,0,5.4,0
conj_29,starOfPlus,0.61,0,4.52,0
conj_30,unionPlusExact,0.27,0,0.73,0
conj_31,plusOfStar,0.72,0,5.64,0
conj_32,converseAfterPlus,0.39,0,1.6,0
conj_33,converseAfterRed,0.61,0,3.71,0
conj_34,converseAfterPlus,0.41,0,1.83,0
conj_35,PrototypeContext.ASY1281036245684789643,0.16,0,0.16,0
conj_36,PrototypeContext.SYM1281036245684789643,0.11,0,0.11,0
conj_37,PrototypeContext.ASY2929575726137283991,0.16,0,0.2,0
conj_38,PrototypeContext.SYM2929575726137283991,0.11,0,0.11,0
conj_39,PrototypeContext.ASY1351479429284401801,0.15,0,0.16,0
conj_40,PrototypeContext.ASY2774696913355351083,0.15,0,0.17,0
conj_41,PrototypeContext.SYM2774696913355351083,0.1,0,0.11,0
conj_42,PrototypeContext.SYM1281036245684789643,0.11,0,0.12,0
conj_43,PrototypeContext.SYM2929575726137283991,0.12,0,0.12,0
conj_44,PrototypeContext.IRF1351479429284401801,0.21,0,0.08,0
conj_45,PrototypeContext.ComputeIsSubItemOfClosure,0.11,0,0.13,0
conj_46,PrototypeContext.ComputeIsSubItemOfClosure,0.15,0,0.1,0
conj_47,Compute7281322003003760225,0.1,0,0.18,0
conj_48,Compute4436322999051580996,0.13,0,0.15,0
conj_49,PrototypeContext.SYM2774696913355351083,0.1,0,0.12,0
conj_50,Compute7781214230736865855,0.18,0,0.18,0
conj_51,PrototypeContext.ActiveRoles,0.1,0,0.1,0
conj_52,unionPlusExact,0.26,0,1.14,0
conj_53,PrototypeContext.TOT8040063340206851592,0.13,0,0.13,0
conj_54,PrototypeContext.DeassignNonRootPFnavMenItems,0.13,0,0.15,0
conj_55,PrototypeContext.TOT6587418294180737,0.1,0,0.09,0
conj_56,PrototypeContext.TOT2918875928466379360,0.09,0,0.09,0
conj_57,Compute2796545173193198284,0.1,0,0.12,0
conj_58,PrototypeContext.NoRefsToAPIs,0.09,0,0.11,0
