model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
FC5,conj_0,Seedkenmerkkopie,True,True,False,0,0,,3,False,0,cheap
FC5,conj_1,Doorvoerenmaakteennieuweeis,True,True,False,0,0,,2,False,0,cheap
FC5,conj_2,Compute6600896710367905774,True,True,False,0,0,,1,False,3,cheap
FC5,conj_3,Compute2576931403467535409,True,False,True,0,0,,2,False,0,expensive
FC5,conj_4,Compute4108480694710235417,True,True,False,0,0,,3,False,10,cheap
FC5,conj_5,Commitkenmerkopruimen,True,True,False,0,0,,2,False,2,cheap
FC5,conj_6,Commitlandopruimen,True,True,False,0,0,,2,False,2,cheap
FC5,conj_7,Commitorganismeopruimen,True,True,False,0,0,,2,False,2,cheap
FC5,conj_8,Commitproductopruimen,True,True,False,0,0,,2,False,2,cheap
FC5,conj_9,Commitvormopruimen,True,True,False,0,0,,2,False,2,cheap
FC5,conj_10,Compute4138207757313091368,True,False,True,0,0,,3,False,0,expensive
FC5,conj_11,LigtInIsMinimaal,False,False,True,0,0,,2,False,0,expensive
FC5,conj_12,ParentIsMinimaal,False,False,True,0,0,,2,False,0,expensive
FC5,conj_13,SubIsMinimaal,False,False,True,0,0,,2,False,0,expensive
FC5,conj_14,Compute6423732352221893610,True,True,False,0,0,,1,False,0,cheap
FC5,conj_15,Seedkenmerkeinddatum,True,True,False,0,0,,3,False,4,cheap
FC5,conj_16,Seedkenmerkgetal,True,True,False,0,0,,3,False,4,cheap
FC5,conj_17,Seedkenmerkherkomst,True,True,False,0,0,,3,False,4,cheap
FC5,conj_18,Seedkenmerkklasse,True,True,False,0,0,,3,False,4,cheap
FC5,conj_19,Seedkenmerkoperator,True,True,False,0,0,,3,False,4,cheap
FC5,conj_20,Seedkenmerkprocent,True,True,False,0,0,,3,False,4,cheap
FC5,conj_21,Seedkenmerksoort,True,True,False,0,0,,3,False,4,cheap
FC5,conj_22,Seedkenmerkstatus,True,True,False,0,0,,3,False,4,cheap
FC5,conj_23,SeedkenmerktoepasbaarOp,True,True,False,0,0,,3,False,4,cheap
FC5,conj_24,Seedkenmerkwaarde,True,True,False,0,0,,3,False,4,cheap
FC5,conj_25,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
FC5,conj_26,SetpropertysessionIsAnon,True,True,False,0,0,,2,False,0,cheap
FC5,conj_27,Compute8920852632577871921,True,True,False,0,0,,4,True,4,expensive
FC5,conj_28,Compute4511595357575348950,True,True,False,0,0,,2,False,0,cheap
FC5,conj_29,Compute1292503724220122616,True,True,False,0,0,,2,False,0,cheap
FC5,conj_30,SetdefaultUseridforAccountsifpossible,True,True,False,0,0,,3,False,2,cheap
FC5,conj_31,Compute3814704419449643247,True,True,False,0,0,,3,False,1,cheap
FC5,conj_32,Compute938061504719961637,True,True,False,0,0,,2,False,1,cheap
FC5,conj_33,Compute4660544968904905825,True,True,False,0,0,,2,False,1,cheap
FC5,conj_34,Compute7199952230953182229,True,True,False,0,0,,2,False,1,cheap
FC5,conj_35,Compute8662831563202815239,True,True,False,0,0,,2,False,1,cheap
FC5,conj_36,Compute164950249910135517,True,True,False,0,0,,4,False,2,expensive
FC5,conj_37,Compute8619599192388854717,True,True,False,0,0,,3,False,2,cheap
FC5,conj_38,Compute2788387060002586770,True,True,False,0,0,,3,False,2,cheap
FC5,conj_39,Compute335184168697304371,True,True,False,0,0,,3,False,2,cheap
FC5,conj_40,Compute8108152962478542875,True,True,False,0,0,,3,False,2,cheap
FC5,conj_41,Compute1145861975801894878,True,True,False,0,0,,3,False,2,cheap
FC5,conj_42,Compute595009033540472366,True,True,False,0,0,,3,False,2,cheap
FC5,conj_43,Compute632897112283115433,True,True,False,0,0,,3,False,2,cheap
FC5,conj_44,Compute4062045514414989033,True,True,False,0,0,,3,False,2,cheap
FC5,conj_45,Compute7789554958099604521,True,True,False,0,0,,3,False,2,cheap
FC5,conj_46,Compute1401995195463334479,True,True,False,0,0,,3,False,2,cheap
FC5,conj_47,Compute1565275964403194068,True,True,False,0,0,,3,False,2,cheap
FC5,conj_48,Compute3154225945234362063,True,True,False,0,0,,3,False,2,cheap
FC5,conj_49,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
FC5,conj_50,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
FC5,conj_51,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
FC5,conj_52,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
FC5,conj_53,INJ7382357686650527613,False,True,False,0,0,,3,False,0,cheap
FC5,conj_54,INJ7947132917451382854,False,True,False,0,0,,3,False,0,cheap
FC5,conj_55,INJ9172587998251935961,False,True,False,0,0,,3,False,0,cheap
FC5,conj_56,INJ449897729261649246,False,True,False,0,0,,3,False,0,cheap
FC5,conj_57,INJ8986029061983404700,False,True,False,0,0,,3,False,0,cheap
FC5,conj_58,INJ2069590317486896413,False,True,False,0,0,,3,False,0,cheap
FC5,conj_59,INJ7855703001920240297,False,True,False,0,0,,3,False,0,cheap
FC5,conj_60,INJ5360748820057364841,False,True,False,0,0,,3,False,0,cheap
FC5,conj_61,Dekkingorganismenineis,False,True,False,0,0,,2,False,0,cheap
FC5,conj_62,Dekkingproductenineis,False,True,False,0,0,,2,False,0,cheap
FC5,conj_63,INJ8983359599951072660,False,True,False,0,0,,3,False,0,cheap
FC5,conj_64,INJ5282738989513402730,False,True,False,0,0,,3,False,0,cheap
FC5,conj_65,INJ2840844032641013220,False,True,False,0,0,,3,False,0,cheap
FC5,conj_66,INJ1255331661346166436,False,True,False,0,0,,3,False,0,cheap
FC5,conj_67,INJ440468013264151901,False,True,False,0,0,,3,False,0,cheap
FC5,conj_68,INJ3947191385406199488,False,True,False,0,0,,3,False,0,cheap
FC5,conj_69,INJ4654517228096068191,False,True,False,0,0,,3,False,0,cheap
FC5,conj_70,OrganismeHeeftEenEppoCode,False,True,False,0,0,,2,False,0,cheap
FC5,conj_71,INJ982166224194403716,False,True,False,0,0,,3,False,0,cheap
FC5,conj_72,INJ8914777013425777130,False,True,False,0,0,,3,False,0,cheap
FC5,conj_73,INJ5808525320710284062,False,True,False,0,0,,3,False,0,cheap
FC5,conj_74,INJ3214055395792669851,False,True,False,0,0,,3,False,0,cheap
FC5,conj_75,INJ6354045684399548247,False,True,False,0,0,,3,False,0,cheap
FC5,conj_76,EenSignatuurPerArgumenttype,False,True,False,0,0,,2,False,2,cheap
FC5,conj_77,OrganismeHeeftEenOuderTaxon,False,True,False,0,0,,2,False,0,cheap
FC5,conj_78,OrganismeHeeftEenNaam,False,True,False,0,0,,2,False,0,cheap
FC5,conj_79,BotanischeNaamHeeftEenOuder,False,True,False,0,0,,2,False,0,cheap
FC5,conj_80,ProductHeeftEenNaam,False,True,False,0,0,,2,False,0,cheap
FC5,conj_81,INJ5336339199140005059,False,True,False,0,0,,3,False,0,cheap
FC5,conj_82,INJ5556592202416024201,False,True,False,0,0,,3,False,0,cheap
FC5,conj_83,INJ115909232777511357,False,True,False,0,0,,3,False,0,cheap
FC5,conj_84,INJ3125398762813715155,False,True,False,0,0,,3,False,0,cheap
FC5,conj_85,INJ7956491316598136372,False,True,False,0,0,,3,False,0,cheap
FC5,conj_86,INJ8998498648323527696,False,True,False,0,0,,3,False,0,cheap
FC5,conj_87,INJ3730431056479538658,False,True,False,0,0,,3,False,0,cheap
FC5,conj_88,Zetauteuropwijziging,True,True,False,0,0,,2,False,0,cheap
FC5,conj_89,SubStapDeelverzameling,False,True,False,0,0,,2,False,0,cheap
FC5,conj_90,INJ6235643113471653291,False,True,False,0,0,,3,False,0,cheap
FC5,conj_91,SynoniemHeeftEenVoorkeursnaam,False,True,False,0,0,,2,False,0,cheap
FC5,conj_92,INJ8783313220110443568,False,True,False,0,0,,3,False,0,cheap
FC5,conj_93,INJ1005382031215663461,False,True,False,0,0,,3,False,0,cheap
FC5,conj_94,INJ2711032653520185596,False,True,False,0,0,,3,False,0,cheap
FC5,conj_95,Commitbegindatum,True,True,False,0,0,,2,False,0,cheap
FC5,conj_96,Commitbron,True,True,False,0,0,,2,False,0,cheap
FC5,conj_97,Commiteistekst,True,True,False,0,0,,2,False,0,cheap
FC5,conj_98,Commiteistype,True,True,False,0,0,,2,False,0,cheap
FC5,conj_99,Commitkenmerk,True,True,False,0,0,,2,False,0,cheap
FC5,conj_100,Commitland,True,True,False,0,0,,2,False,0,cheap
FC5,conj_101,Commitnaam,True,True,False,0,0,,2,False,0,cheap
FC5,conj_102,Commitorganisme,True,True,False,0,0,,2,False,0,cheap
FC5,conj_103,Commitproduct,True,True,False,0,0,,2,False,0,cheap
FC5,conj_104,Commitsector,True,True,False,0,0,,2,False,0,cheap
FC5,conj_105,Commitstatus,True,True,False,0,0,,2,False,0,cheap
FC5,conj_106,Committoelichting,True,True,False,0,0,,2,False,0,cheap
FC5,conj_107,Commitvorm,True,True,False,0,0,,2,False,0,cheap
FC5,conj_108,INJ4017080419223363449,False,True,False,0,0,,3,False,0,cheap
FC5,conj_109,INJ8186125775262394389,False,True,False,0,0,,3,False,0,cheap
FC5,conj_110,INJ7778775786357812261,False,True,False,0,0,,3,False,0,cheap
FC5,conj_111,INJ7108547876776785127,False,True,False,0,0,,3,False,0,cheap
FC5,conj_112,INJ4684716920337630295,False,True,False,0,0,,3,False,0,cheap
FC5,conj_113,INJ9031445828805752901,False,True,False,0,0,,3,False,0,cheap
FC5,conj_114,INJ9062765506408728276,False,True,False,0,0,,3,False,0,cheap
FC5,conj_115,INJ4550586909038178578,False,True,False,0,0,,3,False,0,cheap
FC5,conj_116,INJ4488581762495797115,False,True,False,0,0,,3,False,0,cheap
FC5,conj_117,INJ7394986281799173773,False,True,False,0,0,,3,False,0,cheap
FC5,conj_118,INJ2464720951282278909,False,True,False,0,0,,3,False,0,cheap
FC5,conj_119,INJ8731477194054046605,False,True,False,0,0,,3,False,0,cheap
FC5,conj_120,INJ2042443724165977147,False,True,False,0,0,,3,False,0,cheap
FC5,conj_121,INJ8068272632563188381,False,True,False,0,0,,3,False,0,cheap
FC5,conj_122,INJ4537751563330328252,False,True,False,0,0,,3,False,0,cheap
FC5,conj_123,INJ3495537184074263482,False,True,False,0,0,,3,False,0,cheap
FC5,conj_124,INJ7495042656240601867,False,True,False,0,0,,3,False,0,cheap
FC5,conj_125,INJ124513560328600953,False,True,False,0,0,,3,False,0,cheap
FC5,conj_126,INJ489213148452009417,False,True,False,0,0,,3,False,0,cheap
FC5,conj_127,INJ2223048710371447614,False,True,False,0,0,,3,False,0,cheap
FC5,conj_128,INJ2621401381807315711,False,True,False,0,0,,3,False,0,cheap
FC5,conj_129,INJ1997522744165758064,False,True,False,0,0,,3,False,0,cheap
FC5,conj_130,INJ4980627303437331687,False,True,False,0,0,,3,False,0,cheap
FC5,conj_131,INJ1674162194284999458,False,True,False,0,0,,3,False,0,cheap
FC5,conj_132,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
