id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,Seedkenmerkkopie,0.24,0,0.26,0
conj_1,Doorvoerenmaakteennieuweeis,0.46,0,0.38,0
conj_2,Compute6600896710367905774,0.18,0,0.18,0
conj_3,Compute2576931403467535409,0.4,0,0.39,0
conj_4,Compute4108480694710235417,1.84,0,1.25,0
conj_5,Commitkenmerkopruimen,0.37,0,0.34,0
conj_6,Commitlandopruimen,0.6,0,0.31,0
conj_7,Commitorganismeopruimen,0.3,0,0.28,0
conj_8,Commitproductopruimen,0.3,0,0.29,0
conj_9,Commitvormopruimen,0.26,0,0.28,0
conj_10,Compute4138207757313091368,0.45,0,0.41,0
conj_11,LigtInIsMinimaal,0.24,0,0.24,0
conj_12,ParentIsMinimaal,0.25,0,0.27,0
conj_13,SubIsMinimaal,0.27,0,0.57,0
conj_14,Compute6423732352221893610,0.18,0,0.23,0
conj_15,Seedkenmerkeinddatum,0.3,0,0.32,0
conj_16,Seedkenmerkgetal,0.3,0,0.34,0
conj_17,Seedkenmerkherkomst,0.31,0,0.35,0
conj_18,Seedkenmerkklasse,0.32,0,0.3,0
conj_19,Seedkenmerkoperator,0.33,0,0.32,0
conj_20,Seedkenmerkprocent,0.31,0,0.31,0
conj_21,Seedkenmerksoort,0.3,0,0.31,0
conj_22,Seedkenmerkstatus,0.31,0,0.31,0
conj_23,SeedkenmerktoepasbaarOp,0.32,0,0.29,0
conj_24,Seedkenmerkwaarde,0.35,0,0.31,0
conj_25,PrototypeContext.DesignateRootPFnavMenItem,0.22,0,0.21,0
conj_26,SetpropertysessionIsAnon,0.23,0,0.24,0
conj_27,Compute8920852632577871921,0.26,0,0.27,0
conj_28,Compute4511595357575348950,0.18,0,0.19,0
conj_29,Compute1292503724220122616,0.19,0,0.19,0
conj_30,SetdefaultUseridforAccountsifpossible,0.3,0,0.31,0
conj_31,Compute3814704419449643247,0.21,0,0.22,0
conj_32,Compute938061504719961637,0.19,0,0.19,0
conj_33,Compute4660544968904905825,0.19,0,0.19,0
conj_34,Compute7199952230953182229,0.19,0,0.17,0
