id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,PrototypeContext.DesignateRootPFnavMenItem,0.34,0,0.16,0
conj_1,BevoegdheidDoorgeven,0.46,0,0.87,0
conj_2,Verantwoordelijke,0.46,0,0.99,0
conj_3,PrototypeContext.INJ1281036245684789643,0.19,0,0.17,0
conj_4,PrototypeContext.INJ2929575726137283991,0.16,0,0.16,0
conj_5,Compute5699103424917097406,0.16,0,0.15,0
conj_6,PrototypeContext.INJ2774696913355351083,0.15,0,0.15,0
conj_7,INJ3879759927614128651,0.2,0,0.67,0
conj_8,GeenZelfBeoordeling,1.03,0,0.24,0
conj_9,INJ4054097950467535733,0.19,0,1.27,0
conj_10,mandaatIntrekkingWijze,0.19,0,0.82,0
conj_11,PrototypeContext.UNI4459606978866555589,0.2,0,0.16,0
conj_12,PrototypeContext.UNI1281036245684789643,0.16,0,0.17,0
conj_13,PrototypeContext.UNI6587418294180737,0.16,0,0.17,0
conj_14,PrototypeContext.UNI2929575726137283991,0.19,0,0.17,0
conj_15,PrototypeContext.EquivalenceInsRoles,0.15,0,0.13,0
conj_16,PrototypeContext.EquivalenceDelRoles,0.21,0,0.23,0
conj_17,PrototypeContext.UNI1351479429284401801,0.15,0,0.16,0
conj_18,PrototypeContext.FixTOTisPartOf,0.24,0,0.12,0
conj_19,PrototypeContext.UNI2774696913355351083,0.16,0,0.14,0
conj_20,PrototypeContext.UNI8040063340206851592,0.17,0,0.17,0
conj_21,PrototypeContext.UNI2918875928466379360,0.14,0,0.15,0
conj_22,PrototypeContext.UNI692238222762330918,0.16,0,0.16,0
conj_23,PrototypeContext.UNI3348967980068475124,0.17,0,0.19,0
conj_24,PrototypeContext.UNI6761717822398293328,0.24,0,0.14,0
conj_25,PrototypeContext.UNI2905877478523814324,0.15,0,0.13,0
conj_26,PrototypeContext.UNI5473307612910863708,0.18,0,0.14,0
conj_27,UNI4091213749972731478,0.16,0,1.09,0
conj_28,UNI4054097950467535733,0.17,0,0.25,0
conj_29,Gemandateerde,0.32,0,0.38,0
conj_30,NamensWie,0.15,0,0.13,0
conj_31,UNI1638278824755656285,0.17,0,0.57,0
conj_32,mandaatvoorbehouden,0.17,0,0.45,0
conj_33,UNI4463677050821158976,0.16,0,0.28,0
conj_34,UNI2796588612777866818,0.16,0,0.27,0
conj_35,UNI6786410405855844492,0.16,0,6.11,0
conj_36,Compute3294563594874021666,0.16,0,0.14,0
conj_37,PrototypeContext.ASY1281036245684789643,0.18,0,0.19,0
conj_38,PrototypeContext.SYM1281036245684789643,0.11,0,0.11,0
conj_39,PrototypeContext.ASY2929575726137283991,0.17,0,0.16,0
conj_40,PrototypeContext.SYM2929575726137283991,0.13,0,0.14,0
conj_41,PrototypeContext.ASY1351479429284401801,0.17,0,0.16,0
conj_42,PrototypeContext.ASY2774696913355351083,0.17,0,0.15,0
conj_43,PrototypeContext.SYM2774696913355351083,0.1,0,0.11,0
conj_44,ASY4054097950467535733,0.2,0,0.34,0
conj_45,SYM4054097950467535733,0.12,0,0.19,0
conj_46,PrototypeContext.SYM1281036245684789643,0.13,0,0.12,0
conj_47,PrototypeContext.SYM2929575726137283991,0.12,0,0.31,0
conj_48,PrototypeContext.IRF1351479429284401801,0.09,0,0.13,0
conj_49,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.1,0
conj_50,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.11,0
conj_51,Compute7281322003003760225,0.11,0,0.11,0
conj_52,Compute4436322999051580996,0.14,0,0.14,0
conj_53,PrototypeContext.SYM2774696913355351083,0.11,0,0.13,0
conj_54,Compute7781214230736865855,0.28,0,0.15,0
conj_55,PrototypeContext.ActiveRoles,0.1,0,0.1,0
conj_56,SYM4054097950467535733,0.14,0,0.2,0
conj_57,R1,0.13,0,0.18,0
conj_58,VerantwoordelijkheidBinnenOrgaan,0.16,0,0.22,0
conj_59,GeenCycles,0.13,0,0.17,0
conj_60,NietOnderZichzelf,0.13,0,0.13,0
conj_61,TOT4091213749972731478,0.12,0,1.13,0
conj_62,TOT6786410405855844492,0.13,0,6.42,0
conj_63,SUR3879759927614128651,0.63,0,0.86,0
conj_64,TOT6837877752942776550,0.12,0,0.37,0
conj_65,TOT4463677050821158976,0.13,0,0.45,0
conj_66,TOT2796588612777866818,0.13,0,0.37,0
conj_67,TOT1638278824755656285,0.12,0,0.64,0
conj_68,PrototypeContext.TOT8040063340206851592,0.14,0,0.15,0
conj_69,PrototypeContext.DeassignNonRootPFnavMenItems,0.19,0,0.15,0
conj_70,PrototypeContext.TOT6587418294180737,0.2,0,0.11,0
conj_71,PrototypeContext.TOT2918875928466379360,0.12,0,0.11,0
conj_72,Compute2796545173193198284,0.12,0,0.12,0
conj_73,PrototypeContext.NoRefsToAPIs,0.21,0,0.16,0
