model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
mandatering,conj_0,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_1,Mandaatbesluit,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_2,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_3,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_4,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
mandatering,conj_5,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_6,INJ1921707348199745530,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_7,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_8,PrototypeContext.UNI1281036245684789643,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_9,PrototypeContext.UNI6587418294180737,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_10,PrototypeContext.UNI2929575726137283991,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_11,PrototypeContext.EquivalenceInsRoles,True,True,False,0,0,,3,True,0,cheap
mandatering,conj_12,PrototypeContext.EquivalenceDelRoles,True,True,False,0,0,,3,True,0,cheap
mandatering,conj_13,PrototypeContext.UNI1351479429284401801,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_14,PrototypeContext.FixTOTisPartOf,True,True,False,0,0,,2,False,0,cheap
mandatering,conj_15,PrototypeContext.UNI2774696913355351083,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_16,PrototypeContext.UNI8040063340206851592,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_17,PrototypeContext.UNI2918875928466379360,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_18,PrototypeContext.UNI692238222762330918,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_19,PrototypeContext.UNI3348967980068475124,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_20,PrototypeContext.UNI6761717822398293328,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_21,PrototypeContext.UNI2905877478523814324,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_22,PrototypeContext.UNI5473307612910863708,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_23,Namens,False,True,False,0,0,,2,False,0,cheap
mandatering,conj_24,mandaatvoorbehouden,False,True,False,0,0,,2,False,0,cheap
mandatering,conj_25,UNI2796588612777866818,False,True,False,0,0,,3,False,0,cheap
mandatering,conj_26,Compute3294563594874021666,True,True,False,1,0,SESSION*PrototypeContext.Role,2,True,0,cheap
mandatering,conj_27,PrototypeContext.ASY1281036245684789643,False,True,False,0,0,,1,False,2,cheap
mandatering,conj_28,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_29,PrototypeContext.ASY2929575726137283991,False,True,False,0,0,,1,False,2,cheap
mandatering,conj_30,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_31,PrototypeContext.ASY1351479429284401801,False,True,False,0,0,,1,False,2,cheap
mandatering,conj_32,PrototypeContext.ASY2774696913355351083,False,True,False,0,0,,1,False,2,cheap
mandatering,conj_33,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_34,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_35,PrototypeContext.SYM2929575726137283991,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_36,PrototypeContext.IRF1351479429284401801,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_37,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_38,PrototypeContext.ComputeIsSubItemOfClosure,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_39,Compute7281322003003760225,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_40,Compute4436322999051580996,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_41,PrototypeContext.SYM2774696913355351083,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_42,Compute7781214230736865855,True,True,False,0,0,,3,False,0,cheap
mandatering,conj_43,PrototypeContext.ActiveRoles,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_44,Rule972770400096871048,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_45,Rule4467387370855395841,False,True,False,0,0,,2,False,0,cheap
mandatering,conj_46,Rule4990120487529786290,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_47,Rule4993929195809152206,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_48,TOT6839031309739864647,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_49,SUR1921707348199745530,False,True,False,0,0,,2,False,0,cheap
mandatering,conj_50,TOT6837877752942776550,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_51,TOT2796588612777866818,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_52,PrototypeContext.TOT8040063340206851592,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_53,PrototypeContext.DeassignNonRootPFnavMenItems,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_54,PrototypeContext.TOT6587418294180737,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_55,PrototypeContext.TOT2918875928466379360,False,True,False,0,0,,1,False,0,cheap
mandatering,conj_56,Compute2796545173193198284,True,True,False,0,0,,1,False,0,cheap
mandatering,conj_57,PrototypeContext.NoRefsToAPIs,False,True,False,0,0,,2,False,0,cheap
