id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,PrototypeContext.DesignateRootPFnavMenItem,0.17,0,0.18,0
conj_1,Mandaatbesluit,0.27,0,0.28,0
conj_2,PrototypeContext.INJ1281036245684789643,0.18,0,0.17,0
conj_3,PrototypeContext.INJ2929575726137283991,0.16,0,0.17,0
conj_4,Compute5699103424917097406,0.16,0,0.18,0
conj_5,PrototypeContext.INJ2774696913355351083,0.15,0,0.16,0
conj_6,INJ1921707348199745530,0.15,0,4.81,0
conj_7,PrototypeContext.UNI4459606978866555589,0.14,0,0.15,0
conj_8,PrototypeContext.UNI1281036245684789643,0.16,0,0.16,0
conj_9,PrototypeContext.UNI6587418294180737,0.16,0,0.16,0
conj_10,PrototypeContext.UNI2929575726137283991,0.19,0,0.18,0
conj_11,PrototypeContext.EquivalenceInsRoles,0.13,0,0.15,0
conj_12,PrototypeContext.EquivalenceDelRoles,0.17,0,0.18,0
conj_13,PrototypeContext.UNI1351479429284401801,0.14,0,0.17,0
conj_14,PrototypeContext.FixTOTisPartOf,0.13,0,0.14,0
conj_15,PrototypeContext.UNI2774696913355351083,0.15,0,0.15,0
conj_16,PrototypeContext.UNI8040063340206851592,0.15,0,0.17,0
conj_17,PrototypeContext.UNI2918875928466379360,0.14,0,0.17,0
conj_18,PrototypeContext.UNI692238222762330918,0.18,0,0.18,0
conj_19,PrototypeContext.UNI3348967980068475124,0.18,0,0.16,0
conj_20,PrototypeContext.UNI6761717822398293328,0.14,0,0.16,0
conj_21,PrototypeContext.UNI2905877478523814324,0.16,0,0.15,0
conj_22,PrototypeContext.UNI5473307612910863708,0.14,0,0.19,0
conj_23,Namens,0.13,0,0.17,0
conj_24,mandaatvoorbehouden,0.13,0,0.15,0
conj_25,UNI2796588612777866818,0.14,0,1.09,0
conj_26,Compute3294563594874021666,0.14,0,0.15,0
conj_27,PrototypeContext.ASY1281036245684789643,0.18,0,0.17,0
conj_28,PrototypeContext.SYM1281036245684789643,0.12,0,0.12,0
conj_29,PrototypeContext.ASY2929575726137283991,0.31,0,0.18,0
conj_30,PrototypeContext.SYM2929575726137283991,0.11,0,0.11,0
conj_31,PrototypeContext.ASY1351479429284401801,0.15,0,0.18,0
conj_32,PrototypeContext.ASY2774696913355351083,0.15,0,0.17,0
conj_33,PrototypeContext.SYM2774696913355351083,0.11,0,0.11,0
conj_34,PrototypeContext.SYM1281036245684789643,0.12,0,0.13,0
conj_35,PrototypeContext.SYM2929575726137283991,0.13,0,0.12,0
conj_36,PrototypeContext.IRF1351479429284401801,0.07,0,0.08,0
conj_37,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.12,0
conj_38,PrototypeContext.ComputeIsSubItemOfClosure,0.12,0,0.11,0
conj_39,Compute7281322003003760225,0.13,0,0.11,0
conj_40,Compute4436322999051580996,0.14,0,0.16,0
conj_41,PrototypeContext.SYM2774696913355351083,0.11,0,0.12,0
conj_42,Compute7781214230736865855,0.15,0,0.41,0
conj_43,PrototypeContext.ActiveRoles,0.1,0,0.11,0
conj_44,Rule972770400096871048,0.12,0,0.19,0
conj_45,Rule4467387370855395841,0.15,0,0.13,0
conj_46,Rule4990120487529786290,0.14,0,0.15,0
conj_47,Rule4993929195809152206,0.12,0,0.13,0
conj_48,TOT6839031309739864647,0.13,0,0.5,0
conj_49,SUR1921707348199745530,0.15,0,6.4,0
conj_50,TOT6837877752942776550,0.12,0,0.34,0
conj_51,TOT2796588612777866818,0.11,0,1.14,0
conj_52,PrototypeContext.TOT8040063340206851592,0.12,0,0.12,0
conj_53,PrototypeContext.DeassignNonRootPFnavMenItems,0.14,0,0.15,0
conj_54,PrototypeContext.TOT6587418294180737,0.14,0,0.11,0
conj_55,PrototypeContext.TOT2918875928466379360,0.11,0,0.1,0
conj_56,Compute2796545173193198284,0.1,0,0.12,0
conj_57,PrototypeContext.NoRefsToAPIs,0.1,0,0.12,0
