model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
RAP,conj_0,AutomaticallydetectemptinessofaSequence,True,True,False,4,4,Item*Item Item*Item Sequence*Item Sequence*Item,2,False,2,expensive
RAP,conj_1,Servicerequesttocreateanautologinaccount,True,True,False,0,0,,2,False,0,cheap
RAP,conj_2,Compute553796017023201403,True,True,False,0,0,,2,False,0,cheap
RAP,conj_3,Anonfirstitemofasequencehasapredecessor,False,True,False,1,1,Item*Item,2,False,0,expensive
RAP,conj_4,Anonlastitemofasequencehasasuccessor,False,True,False,1,1,Item*Item,2,False,0,expensive
RAP,conj_5,AutomaticallysetfirstItemofSequence,True,True,False,0,0,,2,False,0,cheap
RAP,conj_6,Loginonanewaccountwhenregistering,True,True,False,3,1,Account*SESSION Userid*Account Account*SESSION,3,False,4,expensive
RAP,conj_7,Automaticallyremovenextitemlinkfromorphaneditems,True,True,False,3,3,Item*Item Item*Item Item*Item,2,False,2,expensive
RAP,conj_8,InsPairisInvisible,True,True,False,0,0,,1,False,0,cheap
RAP,conj_9,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
RAP,conj_10,SetpropertysessionIsAnon,True,True,False,0,0,,2,False,0,cheap
RAP,conj_11,Loginuponrequest,True,True,False,0,0,,4,True,4,expensive
RAP,conj_12,Compute8920852632577871921,True,True,False,0,0,,4,True,4,expensive
RAP,conj_13,AutomaintainpersonRefrelation,True,True,False,0,0,,2,False,0,cheap
RAP,conj_14,Promotenewerversiontohead,True,True,False,0,0,,2,False,2,cheap
RAP,conj_15,SetdefaultUseridforAccountsifpossible,True,True,False,0,0,,3,False,2,cheap
RAP,conj_16,Initializeheadversion,True,True,False,0,0,,2,False,1,cheap
RAP,conj_17,RefuseExistingStudentnumber,False,True,False,2,1,SESSION*Account Account*Userid,3,True,2,expensive
RAP,conj_18,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
RAP,conj_19,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
RAP,conj_20,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
RAP,conj_21,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
RAP,conj_22,INJ4126518529494829744,False,True,False,0,0,,3,False,0,cheap
RAP,conj_23,INJ7382357686650527613,False,True,False,0,0,,3,False,0,cheap
RAP,conj_24,INJ7947132917451382854,False,True,False,0,0,,3,False,0,cheap
RAP,conj_25,INJ9172587998251935961,False,True,False,0,0,,3,False,0,cheap
RAP,conj_26,INJ7434477813244724502,False,True,False,0,0,,3,False,0,cheap
RAP,conj_27,INJ449897729261649246,False,True,False,0,0,,3,False,0,cheap
RAP,conj_28,INJ2960433485094639880,False,True,False,0,0,,3,False,0,cheap
RAP,conj_29,INJ7072671161078620726,False,True,False,0,0,,3,False,0,cheap
RAP,conj_30,INJ3493534666395186405,False,True,False,0,0,,3,False,0,cheap
RAP,conj_31,INJ2843163181122214783,False,True,False,0,0,,3,False,0,cheap
RAP,conj_32,INJ7352086102017562562,False,True,False,0,0,,3,False,0,cheap
RAP,conj_33,INJ3585598202944245916,False,True,False,0,0,,3,False,0,cheap
RAP,conj_34,INJ2804792183815505881,False,True,False,0,0,,3,False,0,cheap
RAP,conj_35,INJ4337333777700002187,False,True,False,0,0,,3,False,0,cheap
RAP,conj_36,INJ7547663604599314229,False,True,False,0,0,,3,False,0,cheap
RAP,conj_37,INJ4774645661269916105,False,True,False,0,0,,3,False,0,cheap
RAP,conj_38,INJ6907701090098994598,False,True,False,0,0,,3,False,0,cheap
RAP,conj_39,INJ8315285510604390347,False,True,False,0,0,,3,False,0,cheap
RAP,conj_40,Anonemptysequencehasafirstitemandalastitem,False,True,False,0,0,,3,False,0,cheap
RAP,conj_41,INJ1095661169782432840,False,True,False,0,0,,3,False,0,cheap
RAP,conj_42,INJ5396909113034528125,False,True,False,0,0,,3,False,0,cheap
RAP,conj_43,INJ3051461949893720724,False,True,False,0,0,,3,False,0,cheap
RAP,conj_44,Authenticateuser,False,True,False,0,0,,4,False,0,expensive
RAP,conj_45,INJ8813356845805922170,False,True,False,0,0,,3,False,0,cheap
RAP,conj_46,INJ9143847496524501018,False,True,False,0,0,,3,False,0,cheap
RAP,conj_47,AutocreateSIAMPersonRefComputation,True,True,False,0,0,,2,False,0,cheap
RAP,conj_48,INJ5945078787289474809,False,True,False,0,0,,3,False,0,cheap
RAP,conj_49,INJ4855687425146793967,False,True,False,0,0,,3,False,0,cheap
RAP,conj_50,EqualPasswords,False,True,False,0,0,,2,False,0,cheap
