id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_0,AutomaticallydetectemptinessofaSequence,0.3,0,0.33,0
conj_1,Servicerequesttocreateanautologinaccount,0.21,0,0.21,0
conj_2,Compute553796017023201403,0.16,0,0.18,0
conj_3,Anonfirstitemofasequencehasapredecessor,0.22,0,0.24,0
conj_4,Anonlastitemofasequencehasasuccessor,0.22,0,0.22,0
conj_5,AutomaticallysetfirstItemofSequence,0.18,0,0.18,0
conj_6,Loginonanewaccountwhenregistering,0.6,0,0.49,0
conj_7,Automaticallyremovenextitemlinkfromorphaneditems,0.28,0,0.27,0
conj_8,InsPairisInvisible,0.14,0,0.18,0
conj_9,PrototypeContext.DesignateRootPFnavMenItem,0.19,0,0.18,0
conj_10,SetpropertysessionIsAnon,0.24,0,0.27,0
conj_11,Loginuponrequest,0.32,0,0.35,0
conj_12,Compute8920852632577871921,0.32,0,0.3,0
conj_13,AutomaintainpersonRefrelation,0.35,0,0.45,0
conj_14,Promotenewerversiontohead,0.3,0,0.3,0
conj_15,SetdefaultUseridforAccountsifpossible,0.24,0,0.25,0
conj_16,Initializeheadversion,0.18,0,0.18,0
conj_17,RefuseExistingStudentnumber,0.38,0,0.36,0
conj_18,PrototypeContext.INJ1281036245684789643,0.18,0,0.18,0
conj_19,PrototypeContext.INJ2929575726137283991,0.15,0,0.17,0
conj_20,Compute5699103424917097406,0.25,0,0.24,0
conj_21,PrototypeContext.INJ2774696913355351083,0.85,0,0.18,0
conj_22,INJ4126518529494829744,0.21,0,0.18,0
conj_23,INJ7382357686650527613,0.16,0,0.17,0
conj_24,INJ7947132917451382854,1.15,0,7.74,0
conj_25,INJ9172587998251935961,1.0,0,7.6,0
conj_26,INJ7434477813244724502,0.19,0,0.18,0
conj_27,INJ449897729261649246,0.15,0,0.25,0
conj_28,INJ2960433485094639880,1.6,0,12.18,0
conj_29,INJ7072671161078620726,0.18,0,0.16,0
conj_30,INJ3493534666395186405,0.18,0,0.18,0
conj_31,INJ2843163181122214783,0.16,0,0.17,0
conj_32,INJ7352086102017562562,0.24,0,0.16,0
conj_33,INJ3585598202944245916,0.17,0,0.17,0
conj_34,INJ2804792183815505881,0.18,0,0.17,0
conj_35,INJ4337333777700002187,0.17,0,0.14,0
conj_36,INJ7547663604599314229,0.14,0,0.14,0
conj_37,INJ4774645661269916105,0.19,0,0.19,0
conj_38,INJ6907701090098994598,0.16,0,0.17,0
conj_39,INJ8315285510604390347,0.16,0,0.17,0
conj_40,Anonemptysequencehasafirstitemandalastitem,0.18,0,0.25,0
conj_41,INJ1095661169782432840,0.34,0,0.25,0
conj_42,INJ5396909113034528125,0.27,0,0.16,0
conj_43,INJ3051461949893720724,0.17,0,0.18,0
conj_44,Authenticateuser,0.24,0,0.26,0
conj_45,INJ8813356845805922170,1.08,0,1.02,0
conj_46,INJ9143847496524501018,0.18,0,0.15,0
conj_47,AutocreateSIAMPersonRefComputation,0.2,0,0.3,0
conj_48,INJ5945078787289474809,0.14,0,0.15,0
conj_49,INJ4855687425146793967,0.17,0,0.19,0
conj_50,EqualPasswords,0.22,0,0.2,0
conj_51,INJ1456666932048182335,0.16,0,0.18,0
conj_52,INJ5336339199140005059,0.22,0,0.19,0
conj_53,INJ9143579472439309443,0.19,0,0.16,0
conj_54,INJ5430833865754292998,0.17,0,0.18,0
conj_55,INJ4049743030345930584,0.17,0,0.45,0
conj_56,INJ1689917230137489252,0.18,0,0.16,0
conj_57,INJ5556592202416024201,0.17,0,0.16,0
conj_58,INJ115909232777511357,0.17,0,0.23,0
conj_59,INJ3125398762813715155,0.17,0,0.17,0
conj_60,INJ7956491316598136372,0.16,0,0.18,0
conj_61,INJ8998498648323527696,0.16,0,0.16,0
conj_62,INJ8849991668866865090,0.17,0,0.16,0
conj_63,INJ3730431056479538658,0.17,0,0.14,0
conj_64,INJ6235643113471653291,0.17,0,0.18,0
conj_65,INJ4356753732466147592,0.34,0,0.32,0
conj_66,PrototypeContext.UNI4459606978866555589,0.19,0,0.21,0
conj_67,PrototypeContext.UNI1281036245684789643,0.16,0,0.2,0
conj_68,PrototypeContext.UNI6587418294180737,0.21,0,0.18,0
conj_69,PrototypeContext.UNI2929575726137283991,0.18,0,0.25,0
conj_70,PrototypeContext.EquivalenceInsRoles,0.16,0,0.14,0
conj_71,PrototypeContext.EquivalenceDelRoles,0.18,0,0.18,0
conj_72,PrototypeContext.UNI1351479429284401801,0.17,0,0.18,0
conj_73,PrototypeContext.FixTOTisPartOf,0.19,0,0.17,0
conj_74,PrototypeContext.UNI2774696913355351083,0.18,0,0.21,0
conj_75,PrototypeContext.UNI8040063340206851592,0.2,0,0.22,0
conj_76,PrototypeContext.UNI2918875928466379360,0.18,0,0.19,0
conj_77,PrototypeContext.UNI692238222762330918,0.16,0,0.16,0
conj_78,PrototypeContext.UNI3348967980068475124,0.17,0,0.18,0
conj_79,PrototypeContext.UNI6761717822398293328,0.2,0,0.16,0
conj_80,PrototypeContext.UNI2905877478523814324,0.18,0,0.26,0
conj_81,Compute5795425788562158597,0.18,0,0.14,0
conj_82,PrototypeContext.UNI5473307612910863708,0.16,0,0.17,0
conj_83,UNI4126518529494829744,0.25,0,0.18,0
conj_84,UNI7382357686650527613,0.18,0,0.19,0
conj_85,UNI8091777276479638268,0.83,0,5.89,0
conj_86,UNI692126197923597393,0.16,0,0.16,0
conj_87,UNI7947132917451382854,0.81,0,5.67,0
conj_88,UNI9172587998251935961,0.83,0,5.55,0
conj_89,UNI8892242770582122891,0.32,0,1.64,0
conj_90,UNI5411032283554561214,0.88,0,5.85,0
conj_91,UNI6888434508613703730,0.18,0,0.31,0
conj_92,Compute765218741137376158,0.16,0,0.2,0
conj_93,Compute1229015417171334761,0.23,0,0.31,0
conj_94,UNI5877766279333484306,0.17,0,0.31,0
conj_95,DeleteaccPersonRefwhenneithertheformnorthepersonbacksit,0.32,0,0.34,0
conj_96,UNI7434477813244724502,0.16,0,0.19,0
conj_97,MovearfAutoLoginReqtoassociatedaccAutoLoginReq,0.23,0,0.34,0
conj_98,CarboncopyaccPasswordfromitsAccRegForm,0.18,0,0.16,0
conj_99,CopyexistingarfPersonReftoassociatedaccPersonRef,0.15,0,0.21,0
conj_100,CarboncopyaccUseridfromitsAccRegForm,0.16,0,0.17,0
conj_101,UNI3198204472101064968,0.18,0,0.16,0
conj_102,UNI2960433485094639880,0.84,0,5.82,0
conj_103,UNI4959610021415965178,0.25,0,0.16,0
conj_104,UNI6864288870575505301,0.15,0,0.17,0
conj_105,UNI8230061955362915571,0.16,0,0.17,0
conj_106,UNI5335825267977489799,0.16,0,0.16,0
conj_107,UNI7072671161078620726,0.16,0,0.24,0
conj_108,UNI3493534666395186405,0.16,0,0.16,0
conj_109,UNI2843163181122214783,0.16,0,0.16,0
conj_110,Anaccountmayonlybecreatedifithasnotbeenpreviouslyregistered,0.18,0,0.18,0
conj_111,UNI7352086102017562562,0.17,0,0.16,0
conj_112,UNI191981435015100141,0.14,0,0.15,0
conj_113,UNI2560385550258040621,0.17,0,0.16,0
conj_114,UNI2018350552089405641,0.18,0,0.18,0
conj_115,UNI3578596736746726471,0.2,0,0.17,0
conj_116,UNI5557095024473475704,0.17,0,0.17,0
conj_117,UNI6433401349261385619,0.17,0,0.17,0
conj_118,UNI3833954572999171943,0.16,0,0.15,0
conj_119,UNI3833887227766471089,0.2,0,0.18,0
conj_120,UNI3585598202944245916,0.15,0,0.17,0
conj_121,UNI7292369902538131531,2.02,0,15.39,0
conj_122,UNI5648075194938960382,0.16,0,0.16,0
conj_123,UNI5379719461762416310,0.16,0,0.17,0
conj_124,UNI4209390232532046709,0.16,0,0.18,0
conj_125,UNI1833317078572179148,0.17,0,0.17,0
conj_126,UNI5652879710842467849,0.16,0,0.17,0
conj_127,UNI2552324748854327482,8.37,0,70.41,0
conj_128,UNI7207670423374409757,0.15,0,0.16,0
conj_129,UNI3967102432649050563,0.15,0,0.14,0
conj_130,UNI6011810507794389188,0.17,0,0.17,0
conj_131,UNI3149268971656712250,0.17,0,0.16,0
conj_132,UNI3553309997095578918,0.15,0,0.17,0
conj_133,UNI8364419163042218795,0.16,0,0.14,0
conj_134,UNI532178965038594761,0.9,0,1.81,0
conj_135,UNI6960527054116086234,0.16,0,0.17,0
conj_136,UNI314321741642563934,0.15,0,0.17,0
conj_137,UNI9101946635803009615,0.16,0,0.15,0
conj_138,UNI7745578995743736026,0.15,0,0.17,0
conj_139,UNI5079741099786375225,0.14,0,0.15,0
conj_140,UNI3831487851439803834,0.16,0,0.17,0
conj_141,UNI2804792183815505881,0.17,0,0.18,0
conj_142,UNI4337333777700002187,0.25,0,0.16,0
conj_143,UNI234883338510120858,0.17,0,0.16,0
conj_144,UNI7833155494187993299,0.15,0,0.16,0
conj_145,UNI3088738941162777434,0.16,0,0.17,0
conj_146,UNI6947486465785455251,0.17,0,0.18,0
conj_147,UNI7028067669335158881,0.16,0,0.18,0
conj_148,UNI3669012535179029504,0.17,0,0.15,0
conj_149,UNI7547663604599314229,0.16,0,0.17,0
conj_150,UNI4774645661269916105,0.16,0,0.19,0
conj_151,UNI3700985835184845401,0.17,0,0.16,0
conj_152,UNI5153867385571482553,0.16,0,0.15,0
conj_153,UNI6989153310482108131,0.18,0,0.17,0
conj_154,UNI2204715766463101222,0.17,0,0.18,0
conj_155,UNI8135104454580153842,0.17,0,0.27,0
conj_156,UNI6907701090098994598,0.57,0,0.14,0
conj_157,UNI8031115913155700383,0.14,0,0.17,0
conj_158,UNI8315285510604390347,0.22,0,0.21,0
conj_159,UNI1172682219657295518,0.22,0,0.15,0
conj_160,UNI7555125650008181763,0.16,0,0.18,0
conj_161,UNI6135597103414175432,0.16,0,0.17,0
