rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.47,81.48,81.95
1,True,3,0.43,74.14,74.58
2,True,3,0.43,71.35,71.78
3,True,3,0.38,73.69,74.07
4,True,3,0.48,72.46,72.93
5,True,3,0.41,72.4,72.81
6,True,3,0.57,75.6,76.17
7,True,3,0.44,72.65,73.09
8,True,3,0.43,76.96,77.39
9,True,3,0.47,88.16,88.63
10,True,3,0.49,79.51,80
11,True,3,0.55,77,77.54
12,True,3,0.47,72.74,73.21
13,True,3,0.46,73.55,74
14,True,3,0.43,75.23,75.66
15,True,3,0.5,72.74,73.24
16,True,3,0.54,77.6,78.14
17,True,3,0.75,73.13,73.88
18,True,3,0.45,78.81,79.27
19,True,3,0.51,72.38,72.89
