page,rep,http,seconds
MyScripts,0,200,0.025890
Nieuwscript,0,200,0.024752
MyScripts,1,200,0.025115
Nieuwscript,1,200,0.024035
MyScripts,2,200,0.025314
Nieuwscript,2,200,0.023057
MyScripts,3,200,0.024667
Nieuwscript,3,200,0.024189
MyScripts,4,200,0.023471
Nieuwscript,4,200,0.023966
MyScripts,5,200,0.025448
Nieuwscript,5,200,0.023513
MyScripts,6,200,0.023333
Nieuwscript,6,200,0.024161
MyScripts,7,200,0.023485
Nieuwscript,7,200,0.025598
MyScripts,8,200,0.027318
Nieuwscript,8,200,0.023896
MyScripts,9,200,0.024051
Nieuwscript,9,200,0.024755
MyScripts,10,200,0.023511
Nieuwscript,10,200,0.023658
MyScripts,11,200,0.025888
Nieuwscript,11,200,0.023568
MyScripts,12,200,0.023861
Nieuwscript,12,200,0.025060
MyScripts,13,200,0.023423
Nieuwscript,13,200,0.022976
MyScripts,14,200,0.025495
Nieuwscript,14,200,0.024006
MyScripts,15,200,0.023791
Nieuwscript,15,200,0.025950
MyScripts,16,200,0.024874
Nieuwscript,16,200,0.033986
MyScripts,17,200,0.027758
Nieuwscript,17,200,0.026409
MyScripts,18,200,0.023457
Nieuwscript,18,200,0.023491
MyScripts,19,200,0.024798
Nieuwscript,19,200,0.024122
StudentScripts,0,200,0.570722
StudentScripts,1,200,0.343891
StudentScripts,2,200,0.323576
StudentScripts,3,200,0.438783
StudentScripts,4,200,0.344007
StudentScripts,5,200,0.340192
StudentScripts,6,200,0.326739
StudentScripts,7,200,0.315823
StudentScripts,8,200,0.329505
StudentScripts,9,200,0.329738
StudentScripts,10,200,0.318922
StudentScripts,11,200,0.317681
StudentScripts,12,200,0.327877
StudentScripts,13,200,0.310072
StudentScripts,14,200,0.315406
StudentScripts,15,200,0.340492
StudentScripts,16,200,0.307623
StudentScripts,17,200,0.333335
StudentScripts,18,200,0.330708
StudentScripts,19,200,0.325603
