scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,100,True,110,16.79,67.29,84.08
25,100,True,110,14.96,66.97,81.93
50,100,True,110,14.68,68.16,82.83
75,100,True,110,14.97,68.71,83.68
100,100,True,110,9.57,55.32,64.89
125,100,True,110,27.24,68.93,96.18
150,100,True,110,8.64,57.94,66.59
175,100,True,110,7.7,66.26,73.96
200,100,True,110,10.05,58.42,68.47
225,100,True,110,19.06,62.58,81.64
250,100,True,110,7.86,54.79,62.65
275,100,True,110,16.69,64.3,80.99
300,100,True,110,8.74,59.9,68.64
325,100,True,110,8.53,57.76,66.29
350,100,True,110,8.85,58.88,67.74
375,100,True,110,8.76,62.76,71.52
400,100,True,110,9.02,57.48,66.5
425,100,True,110,8.87,56.21,65.08
450,100,True,110,7.32,60.31,67.63
475,100,True,110,10.19,63.08,73.28
500,100,True,110,8.16,60.02,68.18
525,100,True,110,9.04,60.78,69.83
550,100,True,110,7.98,65.91,73.9
575,100,True,110,9.77,72.52,82.28
600,100,True,110,9.15,64.66,73.8
625,100,True,110,14.62,65.08,79.71
650,100,True,110,8.05,62.16,70.2
675,100,True,110,7.62,65.91,73.53
700,100,True,110,8.63,70.48,79.11
725,100,True,110,8.61,65.15,73.77
750,100,True,110,8.16,66.15,74.31
775,100,True,110,7.14,65.26,72.39
800,100,True,110,8.5,66.88,75.38
825,100,True,110,10.75,65.45,76.21
850,100,True,110,9.02,69.26,78.29
875,100,True,110,8.25,73.19,81.44
900,100,True,110,7.85,72.47,80.32
925,100,True,110,19.06,77.52,96.58
950,100,True,110,8.42,75.64,84.06
975,100,True,110,12.12,75.77,87.89
1000,100,True,110,13.6,77.67,91.27
1025,100,True,110,8.53,76.24,84.77
1050,100,True,110,9.33,85.72,95.05
1075,100,True,110,11.33,92.84,104.17
1100,100,True,110,8.07,73.82,81.89
1125,100,True,110,24.14,76.29,100.44
1150,100,True,110,7.49,71.1,78.6
1175,100,True,110,8.4,78.94,87.35
1200,100,True,110,9.7,80.91,90.61
1225,100,True,110,8.49,81.86,90.35
1250,100,True,110,8.69,85.79,94.48
1275,100,True,110,11.38,73.93,85.3
1300,100,True,110,16.16,86.48,102.64
1325,100,True,110,11.51,80.39,91.91
1350,100,True,110,8.46,75.68,84.14
1375,100,True,110,12.55,82.4,94.94
1400,100,True,110,9.41,74.24,83.66
1425,100,True,110,16.01,91.34,107.35
1450,100,True,110,8.3,86.14,94.44
1475,100,True,110,10.88,78.25,89.13
1500,100,True,110,19.42,87.87,107.29
1525,100,True,110,8.39,87,95.39
1550,100,True,110,9.84,84.94,94.77
1575,100,True,110,8.68,91.07,99.75
1600,100,True,110,8.88,85.8,94.68
