rep,committed,affectedConjuncts,affectedConcepts,mutateMs,closeMs,totalMs
0,True,4,0,0.54,40.05,40.59
1,True,4,0,1.35,40.62,41.98
2,True,4,0,0.88,41.99,42.87
3,True,4,0,0.41,40.27,40.67
4,True,4,0,0.43,40.22,40.66
5,True,4,0,0.45,38.58,39.04
6,True,4,0,0.35,40.63,40.98
7,True,4,0,0.33,41.82,42.15
8,True,4,0,0.58,40.17,40.75
9,True,4,0,0.42,40.79,41.2
10,True,4,0,0.44,40.48,40.92
11,True,4,0,0.43,39.42,39.84
12,True,4,0,0.39,39.2,39.59
13,True,4,0,0.39,39.7,40.09
14,True,4,0,0.51,39.23,39.74
15,True,4,0,0.38,40.63,41.01
16,True,4,0,0.4,40.59,40.99
17,True,4,0,0.38,40.11,40.49
18,True,4,0,0.35,39.04,39.4
19,True,4,0,0.38,41.29,41.67
