rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.43,6.16,6.59
1,True,3,0.56,6.26,6.81
2,True,3,0.38,5.89,6.26
3,True,3,0.45,6.24,6.69
4,True,3,0.41,6.17,6.59
5,True,3,0.34,6.23,6.57
6,True,3,0.76,5.75,6.52
7,True,3,0.68,6.44,7.13
8,True,3,0.68,5.84,6.52
9,True,3,0.64,9.57,10.2
10,True,3,0.54,6.7,7.23
11,True,3,0.45,5.42,5.87
12,True,3,0.49,6.5,6.99
13,True,3,0.39,5.7,6.09
14,True,3,0.61,5.81,6.42
15,True,3,0.69,6.14,6.83
16,True,3,0.38,6.25,6.63
17,True,3,0.51,6.11,6.62
18,True,3,0.38,5.44,5.82
19,True,3,0.5,5.75,6.24
