page,rep,http,seconds
MyScripts,0,200,0.066383
Nieuwscript,0,200,0.027099
MyScripts,1,200,0.025637
Nieuwscript,1,200,0.026889
MyScripts,2,200,0.025589
Nieuwscript,2,200,0.025573
MyScripts,3,200,0.025123
Nieuwscript,3,200,0.024442
MyScripts,4,200,0.024457
Nieuwscript,4,200,0.024892
MyScripts,5,200,0.026029
Nieuwscript,5,200,0.024704
MyScripts,6,200,0.024228
Nieuwscript,6,200,0.024131
MyScripts,7,200,0.024153
Nieuwscript,7,200,0.024802
MyScripts,8,200,0.024884
Nieuwscript,8,200,0.024578
MyScripts,9,200,0.024133
Nieuwscript,9,200,0.023910
MyScripts,10,200,0.023389
Nieuwscript,10,200,0.024854
MyScripts,11,200,0.026196
Nieuwscript,11,200,0.027717
MyScripts,12,200,0.024797
Nieuwscript,12,200,0.024469
MyScripts,13,200,0.024117
Nieuwscript,13,200,0.024492
MyScripts,14,200,0.023844
Nieuwscript,14,200,0.024341
MyScripts,15,200,0.024212
Nieuwscript,15,200,0.024461
MyScripts,16,200,0.024199
Nieuwscript,16,200,0.024901
MyScripts,17,200,0.023813
Nieuwscript,17,200,0.023807
MyScripts,18,200,0.023232
Nieuwscript,18,200,0.023575
MyScripts,19,200,0.023411
Nieuwscript,19,200,0.023391
StudentScripts,0,200,0.063241
StudentScripts,1,200,0.049045
StudentScripts,2,200,0.048887
StudentScripts,3,200,0.049387
StudentScripts,4,200,0.049936
StudentScripts,5,200,0.048462
StudentScripts,6,200,0.053058
StudentScripts,7,200,0.050821
StudentScripts,8,200,0.048787
StudentScripts,9,200,0.047199
StudentScripts,10,200,0.047306
StudentScripts,11,200,0.050050
StudentScripts,12,200,0.049673
StudentScripts,13,200,0.048582
StudentScripts,14,200,0.047266
StudentScripts,15,200,0.049395
StudentScripts,16,200,0.052056
StudentScripts,17,200,0.049419
StudentScripts,18,200,0.057841
StudentScripts,19,200,0.047669
