scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,100,True,110,18.3,54.83,73.13
25,100,True,110,13.41,60.88,74.28
50,100,True,110,16.11,82.12,98.23
75,100,True,110,41.02,61.81,102.83
100,100,True,110,16.1,66.91,83
125,100,True,110,21,56.07,77.06
150,100,True,110,17.27,53.58,70.86
175,100,True,110,8.09,46.45,54.54
200,100,True,110,17.46,53.86,71.32
225,100,True,110,15.46,52.89,68.34
250,100,True,110,15.14,55.89,71.03
275,100,True,110,15.43,53.97,69.41
300,100,True,110,8.12,46.16,54.28
325,100,True,110,9.04,45.2,54.25
350,100,True,110,15.72,57.93,73.65
375,100,True,110,16.35,57.57,73.92
400,100,True,110,16.25,57.76,74.01
425,100,True,110,11.46,66.06,77.52
450,100,True,110,10.87,59.79,70.66
475,100,True,110,9.57,47.9,57.46
500,100,True,110,8.61,46.3,54.91
525,100,True,110,7.96,52,59.96
550,100,True,110,8.84,49.63,58.47
575,100,True,110,11.48,51.76,63.25
600,100,True,110,9.82,51.4,61.22
625,100,True,110,10.17,69.35,79.53
650,100,True,110,15.78,65.14,80.92
675,100,True,110,8.22,52.21,60.44
700,100,True,110,7.89,55.42,63.32
725,100,True,110,8.52,56.04,64.56
750,100,True,110,11.48,104.01,115.49
775,100,True,110,9.11,54.1,63.2
800,100,True,110,8.05,57.2,65.26
825,100,True,110,10.63,53.79,64.41
850,100,True,110,8.66,63.88,72.54
875,100,True,110,8.7,56.31,65.01
900,100,True,110,8.79,56.99,65.78
925,100,True,110,13.81,56.25,70.06
950,100,True,110,8.99,57.26,66.25
975,100,True,110,38.83,107.59,146.42
1000,100,True,110,11.39,58.54,69.93
1025,100,True,110,10.17,56.2,66.37
1050,100,True,110,9.28,60.51,69.79
1075,100,True,110,8.36,56.15,64.51
1100,100,True,110,8.17,61.14,69.31
1125,100,True,110,9.03,73.96,82.99
1150,100,True,110,8.16,57.36,65.52
1175,100,True,110,7.78,55.06,62.85
1200,100,True,110,13.46,64.8,78.26
1225,100,True,110,8.51,59.89,68.4
1250,100,True,110,8.8,62.08,70.88
1275,100,True,110,10.13,57.4,67.53
1300,100,True,110,9.04,60.57,69.61
1325,100,True,110,9.93,101.51,111.44
1350,100,True,110,9.29,62.83,72.12
1375,100,True,110,8.15,82.08,90.23
1400,100,True,110,7.79,63.76,71.55
1425,100,True,110,14.08,60.75,74.83
1450,100,True,110,8.13,62.16,70.29
1475,100,True,110,8.13,64.16,72.29
1500,100,True,110,8.99,70.48,79.47
1525,100,True,110,8.2,62.93,71.14
1550,100,True,110,8.33,64.79,73.11
1575,100,True,110,24.69,66.05,90.74
1600,100,True,110,8.51,74.65,83.16
1625,100,True,110,7.75,66.07,73.82
1650,100,True,110,8.9,71.83,80.72
1675,100,True,110,7.15,65.89,73.04
1700,100,True,110,8.07,67.13,75.2
1725,100,True,110,9.96,67.83,77.79
1750,100,True,110,8.04,70.87,78.91
1775,100,True,110,9.21,69.95,79.15
