rep,committed,affectedConjuncts,affectedConcepts,mutateMs,closeMs,totalMs
0,True,4,0,0.46,27.57,28.02
1,True,4,0,0.37,25.8,26.17
2,True,4,0,0.38,25.15,25.53
3,True,4,0,0.41,25.41,25.82
4,True,4,0,0.39,25.12,25.51
5,True,4,0,0.42,25.38,25.81
6,True,4,0,0.39,25.25,25.64
7,True,4,0,0.41,25.69,26.1
8,True,4,0,0.49,25,25.5
9,True,4,0,0.43,29.46,29.9
10,True,4,0,0.36,24.42,24.78
11,True,4,0,0.33,25.82,26.15
12,True,4,0,0.35,26.74,27.09
13,True,4,0,0.45,26.8,27.25
14,True,4,0,0.4,26.52,26.92
15,True,4,0,0.39,26.03,26.43
16,True,4,0,0.4,25.43,25.83
17,True,4,0,0.78,26.78,27.57
18,True,4,0,0.52,27.09,27.62
19,True,4,0,0.45,27.56,28.01
