rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,5.42,7.55,12.97
1,True,3,0.3,7.85,8.14
2,True,3,0.5,8.1,8.6
3,True,3,0.38,9.23,9.61
4,True,3,0.68,8.19,8.87
5,True,3,0.42,9.03,9.45
6,True,3,0.38,9.03,9.41
7,True,3,0.38,9.2,9.57
8,True,3,0.35,8.43,8.78
9,True,3,0.34,7.71,8.05
10,True,3,0.66,9.23,9.89
11,True,3,0.36,8.74,9.1
12,True,3,0.36,9.32,9.68
13,True,3,0.36,9.35,9.71
14,True,3,0.39,8.75,9.13
15,True,3,0.36,9.22,9.58
16,True,3,0.37,8.02,8.38
17,True,3,0.37,8.73,9.1
18,True,3,3.73,7.86,11.59
19,True,3,0.31,8.68,8.99
