page,rep,http,seconds
MyScripts,0,200,0.022934
Nieuwscript,0,200,0.022691
MyScripts,1,200,0.022815
Nieuwscript,1,200,0.022075
MyScripts,2,200,0.021314
Nieuwscript,2,200,0.021893
MyScripts,3,200,0.021871
Nieuwscript,3,200,0.021785
MyScripts,4,200,0.021669
Nieuwscript,4,200,0.022793
MyScripts,5,200,0.032354
Nieuwscript,5,200,0.021587
MyScripts,6,200,0.022001
Nieuwscript,6,200,0.022385
MyScripts,7,200,0.022351
Nieuwscript,7,200,0.021908
MyScripts,8,200,0.021617
Nieuwscript,8,200,0.021971
MyScripts,9,200,0.023162
Nieuwscript,9,200,0.023136
MyScripts,10,200,0.021400
Nieuwscript,10,200,0.021631
MyScripts,11,200,0.021599
Nieuwscript,11,200,0.021841
MyScripts,12,200,0.022303
Nieuwscript,12,200,0.022241
MyScripts,13,200,0.021593
Nieuwscript,13,200,0.024233
MyScripts,14,200,0.023194
Nieuwscript,14,200,0.021866
MyScripts,15,200,0.022009
Nieuwscript,15,200,0.024043
MyScripts,16,200,0.021785
Nieuwscript,16,200,0.022121
MyScripts,17,200,0.021835
Nieuwscript,17,200,0.022427
MyScripts,18,200,0.021368
Nieuwscript,18,200,0.021818
MyScripts,19,200,0.021915
Nieuwscript,19,200,0.022073
StudentScripts,0,200,0.054076
StudentScripts,1,200,0.044800
StudentScripts,2,200,0.044241
StudentScripts,3,200,0.043938
StudentScripts,4,200,0.043576
StudentScripts,5,200,0.044785
StudentScripts,6,200,0.045109
StudentScripts,7,200,0.042712
StudentScripts,8,200,0.042567
StudentScripts,9,200,0.044877
StudentScripts,10,200,0.045117
StudentScripts,11,200,0.051425
StudentScripts,12,200,0.047150
StudentScripts,13,200,0.049304
StudentScripts,14,200,0.044387
StudentScripts,15,200,0.045088
StudentScripts,16,200,0.043728
StudentScripts,17,200,0.044911
StudentScripts,18,200,0.042911
StudentScripts,19,200,0.044594
