scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,100,True,110,15.21,56.84,72.05
25,100,True,110,13.66,55.05,68.71
50,100,True,110,13.9,51.45,65.35
75,100,True,110,7.94,46.99,54.93
100,100,True,110,7.56,45.43,52.99
125,100,True,110,10.83,47.14,57.97
150,100,True,110,7.43,46.2,53.63
175,100,True,110,6.61,52.61,59.22
200,100,True,110,15.2,59.34,74.54
225,100,True,110,10.96,46.58,57.54
250,100,True,110,7.4,45.97,53.37
275,100,True,110,6.67,49.82,56.49
300,100,True,110,6.55,47.17,53.72
325,100,True,110,13.06,62.09,75.15
350,100,True,110,18.08,60.9,78.98
375,100,True,110,6.56,48.72,55.28
400,100,True,110,7.97,58.24,66.21
425,100,True,110,7.2,53.51,60.71
450,100,True,110,6.62,51.78,58.41
475,100,True,110,10.22,47.77,57.99
500,100,True,110,6.32,48.6,54.92
525,100,True,110,8.25,84.6,92.85
550,100,True,110,7.3,53.35,60.65
575,100,True,110,31.01,51.24,82.26
600,100,True,110,7.87,56.82,64.69
625,100,True,110,10.1,55.44,65.55
650,100,True,110,8.57,66.59,75.16
675,100,True,110,7.25,55.37,62.62
700,100,True,110,7.15,62.86,70.01
725,100,True,110,7.38,54.83,62.21
750,100,True,110,7.21,61.36,68.57
775,100,True,110,6.92,56.95,63.87
800,100,True,110,6.6,57.46,64.06
825,100,True,110,9.22,57.13,66.35
850,100,True,110,6.61,56.93,63.54
875,100,True,110,7.26,56.7,63.95
900,100,True,110,7.03,57.88,64.91
925,100,True,110,13.19,60.65,73.84
950,100,True,110,6.87,59.54,66.41
975,100,True,110,9.68,61,70.68
1000,100,True,110,9.2,60.16,69.35
1025,100,True,110,7.03,60.14,67.17
1050,100,True,110,6.91,58.09,65.01
1075,100,True,110,7.3,72.97,80.28
1100,100,True,110,8.84,69.33,78.17
1125,100,True,110,9.34,66.08,75.42
1150,100,True,110,7.66,66.52,74.18
1175,100,True,110,7.07,62.2,69.27
1200,100,True,110,7.99,62.86,70.85
1225,100,True,110,6.95,74.54,81.49
1250,100,True,110,7.27,65.28,72.55
1275,100,True,110,8.7,62.35,71.05
1300,100,True,110,9,67.16,76.15
1325,100,True,110,9.02,63.76,72.78
1350,100,True,110,6.89,63.96,70.85
1375,100,True,110,7.1,65.16,72.26
1400,100,True,110,6.86,67.48,74.34
1425,100,True,110,13.57,66.67,80.24
1450,100,True,110,7.42,72.57,80
1475,100,True,110,7.08,67.69,74.76
1500,100,True,110,7.43,67.35,74.78
1525,100,True,110,7.19,75.35,82.54
1550,100,True,110,7.07,68.45,75.53
1575,100,True,110,7.78,70.66,78.44
1600,100,True,110,6.95,70.06,77.01
1625,100,True,110,7.01,76.29,83.3
1650,100,True,110,8.45,76.11,84.56
1675,100,True,110,6.99,69.69,76.68
1700,100,True,110,6.82,71.59,78.41
1725,100,True,110,6.74,73.44,80.18
1750,100,True,110,6.99,73.29,80.27
1775,100,True,110,7.01,75.15,82.16
1800,100,True,110,7.16,79.56,86.72
1825,100,True,110,16.85,72.17,89.02
1850,100,True,110,7.05,88.2,95.25
1875,100,True,110,6.82,74.98,81.8
1900,100,True,110,6.84,77,83.84
1925,100,True,110,12.35,74.89,87.24
1950,100,True,110,7.85,74.67,82.52
1975,100,True,110,9.33,75.97,85.31
2000,100,True,110,7.17,85.47,92.64
2025,100,True,110,7.31,89.25,96.56
2050,100,True,110,10.84,75.92,86.76
2075,100,True,110,9.39,77.71,87.1
2100,100,True,110,7.42,76.57,83.99
2125,100,True,110,6.8,76.09,82.89
2150,100,True,110,6.85,77.74,84.59
2175,100,True,110,6.74,90.5,97.24
2200,100,True,110,15.92,109.04,124.96
2225,100,True,110,7.68,78.64,86.32
2250,100,True,110,6.43,81.01,87.44
2275,100,True,110,7.64,83.81,91.45
2300,100,True,110,15.2,80.59,95.79
2325,100,True,110,6.99,83.76,90.75
2350,100,True,110,7.95,86.9,94.85
2375,100,True,110,16.34,81.74,98.08
2400,100,True,110,6.71,82.49,89.2
2425,100,True,110,6.79,82.53,89.32
2450,100,True,110,6.88,82.45,89.33
2475,100,True,110,10.18,82.29,92.47
2500,100,True,110,7.15,82.16,89.31
2525,100,True,110,6.8,84.64,91.43
2550,100,True,110,7.99,85.3,93.29
2575,100,True,110,6.73,84.79,91.52
2600,100,True,110,7.65,87.73,95.38
2625,100,True,110,9.02,85.12,94.14
2650,100,True,110,7.88,88.49,96.37
2675,100,True,110,6.98,86.52,93.5
2700,100,True,110,7.06,92.26,99.32
2725,100,True,110,7.17,87.85,95.02
2750,100,True,110,7.71,90.96,98.67
2775,100,True,110,7.44,95.92,103.36
2800,100,True,110,8.2,93.48,101.68
2825,100,True,110,7.39,89.01,96.39
2850,100,True,110,6.8,103.55,110.35
2875,100,True,110,7.16,95.82,102.98
2900,100,True,110,7.88,91.45,99.33
2925,100,True,110,7.58,90.51,98.09
2950,100,True,110,7.15,92.48,99.64
2975,100,True,110,7.03,91.6,98.63
3000,100,True,110,6.85,96.26,103.1
3025,100,True,110,7.42,98.07,105.49
3050,100,True,110,6.87,91.14,98.01
3075,100,True,110,7.81,92.55,100.35
3100,100,True,110,7.31,94.91,102.22
3125,100,True,110,6.98,93.85,100.83
3150,100,True,110,6.75,93.54,100.29
3175,100,True,110,6.81,100.2,107.01
3200,100,True,110,7.51,93.97,101.48
3225,100,True,110,6.78,94.09,100.86
3250,100,True,110,7.21,99.13,106.34
3275,100,True,110,7.8,116.64,124.44
3300,100,True,110,7.04,117.46,124.5
3325,100,True,110,13.9,98.61,112.51
3350,100,True,110,7.64,114.6,122.23
3375,100,True,110,7.52,98.69,106.22
3400,100,True,110,6.78,98.56,105.34
3425,100,True,110,7.03,99.3,106.32
3450,100,True,110,10.35,102.98,113.33
3475,100,True,110,6.7,108.8,115.49
3500,100,True,110,8.71,106.16,114.87
3525,100,True,110,7.01,101.01,108.02
3550,100,True,110,7.65,101.88,109.53
3575,100,True,110,8.43,103.29,111.73
3600,100,True,110,6.83,101.52,108.35
3625,100,True,110,7,110.89,117.89
3650,100,True,110,7.06,112.44,119.5
3675,100,True,110,7.58,106,113.58
3700,100,True,110,7.26,104.71,111.97
3725,100,True,110,9.39,104.61,113.99
3750,100,True,110,9.71,106.29,116
3775,100,True,110,7.76,107.69,115.45
3800,100,True,110,7.38,103.77,111.15
3825,100,True,110,8,114.23,122.23
3850,100,True,110,8.5,113.69,122.18
3875,100,True,110,7.67,110.34,118.01
3900,100,True,110,7.22,110.93,118.15
3925,100,True,110,13.93,130.82,144.75
3950,100,True,110,7.51,118.11,125.61
3975,100,True,110,7.18,109.89,117.08
4000,100,True,110,8.35,113.76,122.11
4025,100,True,110,8.32,114.44,122.76
4050,100,True,110,6.92,111.11,118.03
4075,100,True,110,6.76,110.06,116.82
4100,100,True,110,9.06,111.86,120.92
4125,100,True,110,7.16,114.45,121.61
4150,100,True,110,7.89,115.22,123.11
4175,100,True,110,6.81,111.77,118.59
4200,100,True,110,7.65,120.31,127.97
4225,100,True,110,8.14,112.44,120.58
4250,100,True,110,6.92,117.68,124.59
4275,100,True,110,7.4,118.88,126.28
4300,100,True,110,7.72,121.95,129.67
4325,100,True,110,7.13,115.02,122.15
4350,100,True,110,6.91,115.73,122.64
4375,100,True,110,7.37,114.42,121.79
4400,100,True,110,6.83,118.01,124.85
4425,100,True,110,8.35,124.58,132.93
4450,100,True,110,7.29,121.22,128.51
4475,100,True,110,6.85,116,122.85
4500,100,True,110,7.17,121.13,128.3
4525,100,True,110,6.82,118.27,125.08
4550,100,True,110,7.3,123.38,130.68
4575,100,True,110,6.78,123.96,130.74
4600,100,True,110,7.2,120.99,128.19
4625,100,True,110,6.82,117.82,124.64
4650,100,True,110,7.46,118.5,125.96
4675,100,True,110,6.72,121.71,128.43
4700,100,True,110,7,120.15,127.15
4725,100,True,110,7.2,119.49,126.69
4750,100,True,110,7.57,123.55,131.11
4775,100,True,110,7.12,124.12,131.24
4800,100,True,110,7.03,126.28,133.31
4825,100,True,110,6.72,128.48,135.21
4850,100,True,110,6.81,126.39,133.2
4875,100,True,110,7.17,125.24,132.41
4900,100,True,110,7.45,123.86,131.31
4925,100,True,110,7.37,127.4,134.77
4950,100,True,110,7.15,136.62,143.77
4975,100,True,110,9.12,137.06,146.18
5000,100,True,110,7.63,129.24,136.87
5025,100,True,110,6.87,130.82,137.69
5050,100,True,110,6.91,126.58,133.49
5075,100,True,110,7.74,129.23,136.97
5100,100,True,110,7.47,127.03,134.5
5125,100,True,110,7.44,128.46,135.9
5150,100,True,110,6.64,126.64,133.28
5175,100,True,110,7.42,127.93,135.36
5200,100,True,110,7.29,130.73,138.01
5225,100,True,110,17.55,131.53,149.07
5250,100,True,110,7.8,127.63,135.43
5275,100,True,110,6.67,129.59,136.26
5300,100,True,110,8.78,131.04,139.82
5325,100,True,110,7.6,131.94,139.54
5350,100,True,110,7.39,133.84,141.23
5375,100,True,110,7.24,135.06,142.29
5400,100,True,110,7.31,152.75,160.06
5425,100,True,110,7.94,135.05,142.99
5450,100,True,110,7.4,137.53,144.93
5475,100,True,110,6.88,140,146.88
5500,100,True,110,8.05,136.69,144.74
5525,100,True,110,7.25,134.78,142.03
5550,100,True,110,7.11,139.08,146.18
5575,100,True,110,6.8,135.69,142.5
5600,100,True,110,9.62,138.76,148.38
5625,100,True,110,7.68,133.92,141.6
5650,100,True,110,6.66,137.38,144.04
5675,100,True,110,7.27,135.97,143.24
5700,100,True,110,7.33,138.76,146.09
5725,100,True,110,7.26,136.95,144.21
5750,100,True,110,7.22,139.32,146.54
5775,100,True,110,6.84,137.21,144.06
5800,100,True,110,14.05,145.01,159.06
5825,100,True,110,7.24,143.12,150.35
5850,100,True,110,6.83,137.98,144.82
5875,100,True,110,6.99,139.24,146.23
5900,100,True,110,7.07,139.95,147.02
5925,100,True,110,7.34,140.69,148.04
5950,100,True,110,7.63,142.17,149.8
5975,100,True,110,7.99,140.9,148.89
6000,100,True,110,7.57,153.57,161.14
6025,100,True,110,6.89,143.67,150.56
6050,100,True,110,7.16,143.8,150.95
6075,100,True,110,7.12,146.78,153.9
6100,100,True,110,9.76,156.93,166.69
6125,100,True,110,7.71,149.76,157.46
6150,100,True,110,7.22,144.88,152.1
6175,100,True,110,7.21,149.67,156.88
6200,100,True,110,6.87,147.75,154.62
6225,100,True,110,6.64,144.46,151.1
6250,100,True,110,7.52,148.07,155.59
6275,100,True,110,6.81,151.46,158.27
6300,100,True,110,7.17,149.68,156.85
6325,100,True,110,6.87,151.72,158.6
6350,100,True,110,7.37,151.29,158.66
6375,100,True,110,8.31,147.23,155.54
6400,100,True,110,7.02,149.74,156.76
6425,100,True,110,7.22,149.7,156.92
6450,100,True,110,7.58,151.56,159.14
6475,100,True,110,6.83,155.49,162.32
6500,100,True,110,7.17,152.85,160.02
6525,100,True,110,9.35,156.73,166.08
6550,100,True,110,13.46,153.96,167.42
6575,100,True,110,7.6,149.47,157.07
6600,100,True,110,7.19,149.19,156.38
6625,100,True,110,7.14,149.48,156.62
6650,100,True,110,6.88,153.79,160.66
6675,100,True,110,8.48,155.18,163.67
6700,100,True,110,7.15,153.14,160.29
6725,100,True,110,7.15,152.22,159.37
6750,100,True,110,7.41,156.36,163.77
6775,100,True,110,6.86,151.93,158.79
6800,100,True,110,7.42,151.46,158.88
6825,100,True,110,7.27,153.45,160.73
6850,100,True,110,7.9,151.47,159.37
6875,100,True,110,7.57,158.94,166.52
6900,100,True,110,9.1,155.15,164.26
6925,100,True,110,6.69,151.68,158.37
6950,100,True,110,7.17,155.82,162.99
6975,100,True,110,7.14,159.19,166.33
7000,100,True,110,6.93,157.8,164.74
7025,100,True,110,6.69,158.98,165.67
7050,100,True,110,7.21,166.45,173.66
7075,100,True,110,7.59,155.67,163.27
7100,100,True,110,7.03,163.15,170.18
7125,100,True,110,6.67,155.63,162.3
7150,100,True,110,7.15,165.68,172.83
7175,100,True,110,7.33,155.5,162.84
7200,100,True,110,7.36,160.77,168.13
7225,100,True,110,8.46,169.21,177.66
7250,100,True,110,7.51,158.68,166.19
7275,100,True,110,6.81,164.53,171.34
7300,100,True,110,7.48,160.82,168.3
7325,100,True,110,7.47,162,169.47
7350,100,True,110,7.27,161.38,168.65
7375,100,True,110,6.74,158.81,165.55
7400,100,True,110,7.58,164.74,172.32
7425,100,True,110,7.02,163.37,170.39
7450,100,True,110,6.84,166.36,173.2
7475,100,True,110,7.01,164.55,171.56
7500,100,True,110,15.58,162.01,177.59
7525,100,True,110,7.15,161.65,168.8
7550,100,True,110,7.25,179.17,186.42
7575,100,True,110,7.21,167.47,174.68
7600,100,True,110,10.11,167.97,178.08
7625,100,True,110,7.3,167.48,174.78
7650,100,True,110,7.25,168.99,176.24
7675,100,True,110,6.97,178.7,185.67
7700,100,True,110,7.3,169.24,176.54
7725,100,True,110,7.72,177,184.72
7750,100,True,110,9.09,177.02,186.11
7775,100,True,110,7.64,183.57,191.21
7800,100,True,110,6.88,173.59,180.48
7825,100,True,110,7.01,173.29,180.3
7850,100,True,110,7.94,172.38,180.32
7875,100,True,110,7.08,177.38,184.46
7900,100,True,110,7.7,176.71,184.41
7925,100,True,110,7.46,171.38,178.84
7950,100,True,110,7.95,170.72,178.67
7975,100,True,110,6.65,175.29,181.94
8000,100,True,110,6.55,167.59,174.13
8025,100,True,110,6.84,176.44,183.28
8050,100,True,110,7.46,170.57,178.03
8075,100,True,110,6.86,177.48,184.34
8100,100,True,110,8.19,175.46,183.65
8125,100,True,110,6.89,180.17,187.07
8150,100,True,110,7.21,172.31,179.52
8175,100,True,110,7.16,179.96,187.11
8200,100,True,110,8.29,180.09,188.38
8225,100,True,110,6.8,179.27,186.07
8250,100,True,110,7.28,173.37,180.64
8275,100,True,110,7.16,178.03,185.19
8300,100,True,110,7.48,178.71,186.2
8325,100,True,110,7.51,174.22,181.73
8350,100,True,110,16.89,183.58,200.47
8375,100,True,110,7.39,182.8,190.19
8400,100,True,110,7.53,180.23,187.76
8425,100,True,110,7.26,175.03,182.29
8450,100,True,110,10.55,183.15,193.7
8475,100,True,110,7.28,177.85,185.13
8500,100,True,110,6.8,180.33,187.12
8525,100,True,110,6.81,181.27,188.08
8550,100,True,110,7.56,178.27,185.83
8575,100,True,110,7.17,180.49,187.67
8600,100,True,110,7.64,182.27,189.91
8625,100,True,110,7.18,182.85,190.03
8650,100,True,110,7.22,185.6,192.82
8675,100,True,110,6.76,185.9,192.67
8700,100,True,110,7.55,187.24,194.79
8725,100,True,110,7.76,180.72,188.48
8750,100,True,110,7.3,187.71,195.01
8775,100,True,110,7.8,180.88,188.68
8800,100,True,110,7.87,192.02,199.89
8825,100,True,110,7.76,185.69,193.45
8850,100,True,110,7.78,188.75,196.54
8875,100,True,110,7.22,186.38,193.6
8900,100,True,110,6.98,192.82,199.81
8925,100,True,110,7.15,183.36,190.51
8950,100,True,110,7.35,189.45,196.8
8975,100,True,110,7.97,189.22,197.2
9000,100,True,110,7.22,190.17,197.39
9025,100,True,110,7.06,184.49,191.55
