rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,4,1.03,42.32,43.36
1,True,4,0.53,43.04,43.58
2,True,4,0.47,40.58,41.05
3,True,4,0.45,39.8,40.25
4,True,4,0.46,40.84,41.3
5,True,4,0.43,40.15,40.58
6,True,4,0.48,40.37,40.85
7,True,4,0.61,40.24,40.85
8,True,4,2.81,40.07,42.88
9,True,4,0.49,39.96,40.45
10,True,4,0.47,39.16,39.62
11,True,4,0.42,38.58,39
12,True,4,0.49,40.63,41.12
13,True,4,0.46,40.8,41.26
14,True,4,0.49,41.49,41.99
15,True,4,0.46,40.18,40.65
16,True,4,0.49,45.11,45.59
17,True,4,0.53,40.87,41.39
18,True,4,0.46,40.52,40.99
19,True,4,0.46,39.12,39.58
