rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,3,0.36,25.76,26.13
1,True,3,0.44,25.72,26.16
2,True,3,0.41,25.4,25.81
3,True,3,0.43,25.52,25.95
4,True,3,0.43,25.44,25.87
5,True,3,0.43,25.93,26.36
6,True,3,0.43,24.56,24.99
7,True,3,0.45,25.29,25.74
8,True,3,0.43,24.21,24.64
9,True,3,0.35,24.6,24.95
10,True,3,0.36,27.71,28.07
11,True,3,0.43,25.46,25.89
12,True,3,0.43,25.45,25.88
13,True,3,0.44,24.65,25.09
14,True,3,0.43,25.28,25.71
15,True,3,0.44,25.02,25.46
16,True,3,0.44,25.02,25.45
17,True,3,0.49,25.82,26.3
18,True,3,0.47,25.55,26.02
19,True,3,0.41,25.88,26.29
