page,rep,http,seconds
MyScripts,0,200,0.021808
Nieuwscript,0,200,0.022451
MyScripts,1,200,0.021662
Nieuwscript,1,200,0.021726
MyScripts,2,200,0.021504
Nieuwscript,2,200,0.021727
MyScripts,3,200,0.022189
Nieuwscript,3,200,0.022003
MyScripts,4,200,0.021883
Nieuwscript,4,200,0.024756
MyScripts,5,200,0.022597
Nieuwscript,5,200,0.021822
MyScripts,6,200,0.021794
Nieuwscript,6,200,0.022388
MyScripts,7,200,0.021803
Nieuwscript,7,200,0.022025
MyScripts,8,200,0.021938
Nieuwscript,8,200,0.022002
MyScripts,9,200,0.021880
Nieuwscript,9,200,0.021714
MyScripts,10,200,0.022017
Nieuwscript,10,200,0.022038
MyScripts,11,200,0.021717
Nieuwscript,11,200,0.022103
MyScripts,12,200,0.022426
Nieuwscript,12,200,0.022401
MyScripts,13,200,0.021993
Nieuwscript,13,200,0.022098
MyScripts,14,200,0.021735
Nieuwscript,14,200,0.022219
MyScripts,15,200,0.021498
Nieuwscript,15,200,0.021981
MyScripts,16,200,0.021510
Nieuwscript,16,200,0.022241
MyScripts,17,200,0.021814
Nieuwscript,17,200,0.022090
MyScripts,18,200,0.021532
Nieuwscript,18,200,0.021929
MyScripts,19,200,0.021750
Nieuwscript,19,200,0.022027
StudentScripts,0,200,0.445049
StudentScripts,1,200,0.297047
StudentScripts,2,200,0.312892
StudentScripts,3,200,0.302295
StudentScripts,4,200,0.286280
StudentScripts,5,200,0.288956
StudentScripts,6,200,0.303440
StudentScripts,7,200,0.312549
StudentScripts,8,200,0.293945
StudentScripts,9,200,0.287234
StudentScripts,10,200,0.331184
StudentScripts,11,200,0.291572
StudentScripts,12,200,0.286178
StudentScripts,13,200,0.301821
StudentScripts,14,200,0.301607
StudentScripts,15,200,0.282427
StudentScripts,16,200,0.315911
StudentScripts,17,200,0.289626
StudentScripts,18,200,0.300329
StudentScripts,19,200,0.322357
