scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,100,True,110,17.7,65.24,82.94
25,100,True,110,17.06,71.51,88.58
50,100,True,110,17.94,65.57,83.51
75,100,True,110,16.69,66.92,83.61
100,100,True,110,19.19,66.22,85.42
125,100,True,110,17.42,103.56,120.98
150,100,True,110,17.69,65.29,82.97
175,100,True,110,16.35,65.2,81.55
200,100,True,110,19.23,71.41,90.64
225,100,True,110,23.82,64.52,88.34
250,100,True,110,16.75,67.76,84.51
275,100,True,110,18.14,68.46,86.6
300,100,True,110,17.14,68.44,85.58
325,100,True,110,17.11,65.79,82.91
350,100,True,110,16.66,68.31,84.97
375,100,True,110,17.33,50.82,68.15
400,100,True,110,8.21,54.7,62.91
425,100,True,110,8.46,52.45,60.91
450,100,True,110,8.03,52.82,60.85
475,100,True,110,10.74,52.38,63.13
500,100,True,110,8.73,55.48,64.22
525,100,True,110,19.18,70.12,89.3
550,100,True,110,8.07,54.62,62.69
575,100,True,110,19.18,69.7,88.88
600,100,True,110,10.38,59.13,69.51
625,100,True,110,14.71,55.26,69.97
650,100,True,110,9.17,59.07,68.24
675,100,True,110,8.34,56.46,64.8
700,100,True,110,9.43,61.02,70.45
725,100,True,110,8.1,56.55,64.65
750,100,True,110,8.65,58.11,66.75
775,100,True,110,8,56.98,64.98
800,100,True,110,8.62,59.41,68.04
825,100,True,110,9.75,63.45,73.2
850,100,True,110,9,65.6,74.6
875,100,True,110,8.22,61.05,69.27
900,100,True,110,8.59,64.5,73.1
925,100,True,110,12.25,62.17,74.42
950,100,True,110,8.46,64.3,72.76
975,100,True,110,10.86,82,92.86
1000,100,True,110,11.46,63.58,75.03
1025,100,True,110,8.31,85.45,93.76
1050,100,True,110,13.68,87.38,101.06
1075,100,True,110,8.81,87.23,96.04
1100,100,True,110,16.83,86.59,103.42
1125,100,True,110,9.26,72.99,82.25
1150,100,True,110,17.2,84.05,101.26
1175,100,True,110,8.41,69.37,77.78
1200,100,True,110,8.36,68.42,76.78
1225,100,True,110,8.85,76.58,85.43
1250,100,True,110,17.65,78.01,95.67
1275,100,True,110,15.07,67.7,82.77
1300,100,True,110,8.72,67.92,76.65
1325,100,True,110,10.7,68.38,79.08
1350,100,True,110,9.07,67.58,76.65
1375,100,True,110,17.34,79.96,97.3
1400,100,True,110,8.55,71.45,80
1425,100,True,110,20.66,69.64,90.3
1450,100,True,110,24.06,70.41,94.48
1475,100,True,110,9.77,72.6,82.37
1500,100,True,110,10.16,72.8,82.96
1525,100,True,110,8.3,71.5,79.79
1550,100,True,110,8.48,70.97,79.45
1575,100,True,110,9.03,74.51,83.54
1600,100,True,110,14.93,76.39,91.32
1625,100,True,110,8.36,84.14,92.5
1650,100,True,110,8.61,74.92,83.52
1675,100,True,110,8.15,74.18,82.33
1700,100,True,110,8.75,76.84,85.59
1725,100,True,110,10.34,77.34,87.67
1750,100,True,110,9.05,83.86,92.91
1775,100,True,110,9.91,90,99.91
1800,100,True,110,9.21,103.53,112.74
1825,100,True,110,8.94,79.72,88.66
1850,100,True,110,8.59,78.55,87.13
1875,100,True,110,8.26,76.01,84.27
1900,100,True,110,9.12,77.03,86.16
1925,100,True,110,13.5,78.44,91.94
1950,100,True,110,17.59,78.54,96.13
1975,100,True,110,11.18,84.91,96.09
2000,100,True,110,8.86,81.87,90.73
2025,100,True,110,8.98,84.01,92.99
2050,100,True,110,13.6,81.91,95.5
2075,100,True,110,10.31,81.5,91.81
2100,100,True,110,8.72,88.57,97.29
2125,100,True,110,9.4,82.29,91.69
2150,100,True,110,9.18,96.24,105.42
2175,100,True,110,8.78,82.57,91.35
2200,100,True,110,9.18,81.61,90.79
2225,100,True,110,9.08,83.19,92.27
2250,100,True,110,8.31,84.29,92.6
2275,100,True,110,8.49,85.25,93.74
2300,100,True,110,19.98,84.23,104.21
2325,100,True,110,12.04,86.98,99.03
2350,100,True,110,9.15,85.88,95.03
2375,100,True,110,8.22,84.24,92.46
2400,100,True,110,13,88.43,101.43
2425,100,True,110,8.35,90.26,98.61
2450,100,True,110,8.2,115.41,123.61
2475,100,True,110,11.03,100.72,111.75
2500,100,True,110,8.41,88.69,97.1
2525,100,True,110,8.71,90.43,99.15
2550,100,True,110,8.62,87.74,96.35
2575,100,True,110,8.74,87.3,96.04
2600,100,True,110,8.74,89.76,98.5
2625,100,True,110,8.42,90,98.42
2650,100,True,110,7.95,96.68,104.63
2675,100,True,110,8.26,91.08,99.34
2700,100,True,110,8.86,90.25,99.1
2725,100,True,110,8.93,97.07,106.01
2750,100,True,110,9.73,94.99,104.73
2775,100,True,110,8.4,111.52,119.92
2800,100,True,110,8.39,117.27,125.67
2825,100,True,110,8.21,100.11,108.33
2850,100,True,110,10.52,100.82,111.34
2875,100,True,110,9.53,98.33,107.87
2900,100,True,110,8.71,94.7,103.42
