rep,committed,affectedConjuncts,mutateMs,closeMs,totalMs
0,True,4,1.04,48.74,49.79
1,True,4,0.95,46.87,47.82
2,True,4,0.52,46.72,47.24
3,True,4,0.58,46.8,47.37
4,True,4,0.62,47.5,48.12
5,True,4,0.71,46.16,46.88
6,True,4,0.51,47.02,47.52
7,True,4,0.54,45.34,45.88
8,True,4,0.56,44.62,45.18
9,True,4,0.57,46.91,47.47
10,True,4,0.55,47.44,47.99
11,True,4,0.6,47.83,48.43
12,True,4,0.57,46.61,47.18
13,True,4,1.14,50.49,51.63
14,True,4,0.51,50.26,50.78
15,True,4,0.57,48.37,48.94
16,True,4,0.5,47.1,47.6
17,True,4,0.57,46.52,47.09
18,True,4,3.32,44.17,47.49
19,True,4,0.55,48.47,49.02
